idnovel,tr_word1,tr_word2,tr_word3,tr_word4,tr_word5,ch_word1,ch_word2,ch_word3,ch_word4,ch_word5,st_word1,st_word2,st_word3,st_word4,st_word5,md_word1,md_word2,md_word3,md_word4,md_word5
1,사 국 ,서하 ,리지 ,차기 가주 ,여성 군대 ,아니다,예쁘다,가능하다,높다,궁금하다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,릴리 안 ,레온 딘 ,윌리엄 ,책 ,엘리엇 ,멋지다,활발하다,발랄하다,우울하다,멋있다,으스스하다,암울하다,이러하다,그러하다,다르다,음산하다,넘치다,안좋다,야하다,순수하다
4,베 리그 ,애 미 ,로 설 ,블랙 까망 ,본드 족 ,짠하다,나쁘다,열렬하다,깊다,탄탄하다,탄탄하다,귀찮다,불편하다,새롭다,유일하다,안타깝다,솔직하다,더하다,필요하다,분하다
5,송 유 ,제갈 수광 ,절정 고수 ,동부 지맹 ,천마 ,좋아하다,그렇다,선하다,이상하다,우승하다,NULL,NULL,NULL,NULL,NULL,친하다,힘들다,좋다,뒤늦다,성공하다
6,주인공 ,강화 전사 ,검술 재능 ,지구 최강 ,지구의 마나 ,흥미롭다,통쾌하다,있다,특이하다,이러하다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,NULL,NULL,NULL,NULL,NULL,있다,반하다,미치다,없다,수많다,없다,있다,반하다,수많다,많다,NULL,NULL,NULL,NULL,NULL
8,NULL,NULL,NULL,NULL,NULL,좋다,뛰어나다,나쁘다,평범하다,같다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,급 헌터 ,유진 ,주인공 ,던전 안 ,프로필 카드 ,약하다,아니다,우선하다,특이하다,가깝다,애매하다,지루하다,다름없다,수많다,그렇다,무겁다,밉다,짜릿하다,지겹다,구질구질하다
10,함 아카데미 ,학원 물 ,피아노 천재 ,예고 천재 ,초월 마법 ,없다,특별하다,무섭다,안녕하다,그렇다,이렇다,많다,있다,같다,무능력하다,실망하다,비슷하다,당하다,완벽하다,그렇다
