,title,author,genre,publisher,age,total,pub_date,complete,img_src,intro,joara
0,이세계에서,H.O.N,판타지,미제공,미제공,220,20/07/02,완결,http://cf.joara.com/literature_file/20200702_1354195492.jpg_thumb.png,"
[유니크 스킬: 폭발 펀치를 획득하셨습니다.]
묻지마 자폭 테러에 휘말린 인범은 다른 세계에서 눈을 뜬다.

영혼을 먹는 괴물 영귀가 사는 알브레헴 제국.
인범은 이계에 오자마자 영귀에게 쫓기게 되고…
위기의 순간 인범은 영귀의 얼굴에 주먹을 날렸다!

“저리 꺼져!!”

주먹에서 폭발이 일어나고, 그는 새로운 능력을 각성한다!!",http://www.joara.com/premium_new/book_intro.html?book_code=1466349
1,망향무사,성상현,무협,미제공,미제공,309,20/06/29,완결,http://cf.joara.com/literature_file/20200626_1725246215.jpg_thumb.png,"
『낙향무사』 『천년무제』 『낙오무사』
거침없는 필력의 성상현이 돌아왔다!

『망향무사』

북방군 특수부 십번대 대장 소천호
십년전쟁을 끝장내고 귀향하다

하지만 그를 기다리는 건 변해 버린 고향
그리고 빛바랜 추억뿐이었는데……

“그래, 말로 해서 알아먹으면 무림인이 아니지.”

부러지지 않는 강골, 압도적인 힘!
경고하노니 절대 그를 분노케 하지 마라!",http://www.joara.com/premium_new/book_intro.html?book_code=1464815
2,기적의 이혼대법,설화담,무협,미제공,미제공,206,20/06/29,완결,http://cf.joara.com/literature_file/20200626_1730286140.jpg_thumb.png,"
마도제일인, 광혈존 적사결
평생의 숙적, 취불 무허와의 결전 이후
눈을 뜬 세상은 평소와 달랐다!

『기적의 이혼대법』

분명, 만마가 앙복하고
십만교도가 우러러 보던 천마였건만

“왜, 땡중들만 눈에 들어오는 거야?”

생사결 이후, 본 세상은 달랐다
자신의 혼과, 취불의 혼이 뒤바꿨다!

좌충우돌, 자신의 몸을 되찾기 위한
적사결의 여정이 지금 시작한다!",http://www.joara.com/premium_new/book_intro.html?book_code=1464818
3,다 해 먹는 배우님,범탈,판타지,미제공,미제공,260,20/06/29,완결,http://cf.joara.com/literature_file/20200626_1733076394.jpg_thumb.png,"
『다 해 먹는 배우님』

대한민국 최고의 스타 배우, 차지혁
그는 배우로서 모든 것을 이루고 감독에 도전하지만,
계속되는 악재로 정상에서 바닥까지 떨어지는데……

[명감독의 도움이 발동됩니다.]

27년 전 신인 시절로 회귀하며
새로운 기회와 함께 주어진 신기한 능력

관객을 매혹시키는 연기력과
섬세하고 감각적인 연출력,
그 모든 것을 갖춘 배우님의 디렉팅이 시작된다!",http://www.joara.com/premium_new/book_intro.html?book_code=1464819
4,시스템으로 이계 귀환,연재탁목조,판타지,미제공,미제공,298,20/06/29,완결,http://cf.joara.com/literature_file/20200626_1734083746.jpg_thumb.png,"
연구실에서 대체 복무를 하던 공대생 최건우.

원인 모를 폭발로 몬스터와 마수가 날뛰는 이세계에 떨어졌다.

그나마 믿을 건 뜬금없이 몸속에 자리 잡은 플레이어 시스템 뿐.

“내가 어떻게든 지구로 돌아가고 만다. 어떻게든!”

지구로 돌아가기 위한 건우의 파란만장한 스토리가 시작된다.

[저기, 저는요? 저도 있습니다.]
“아, 그래. 센트라, 미안해.”",http://www.joara.com/premium_new/book_intro.html?book_code=1464820
5,다신 안 해,한길,판타지,미제공,미제공,325,20/06/29,완결,http://cf.joara.com/literature_file/20200626_1746065594.jpg_thumb.png,"
뼛속까지 호구로 살던 강명호!
그의 거침없는 역전극이 펼쳐진다!

『다신 안 해』

철석같이 믿던 친구의 배신으로 자살한
만년 과장 명호
끝까지 신의를 지켰던 두 친구 앞에 무릎 꿇고
자식 때문에 비명에 간 부모님 앞에 무너지니……

그딴 호구 짓 두 번 다시, 절대, 죽어도,
다신 안 해!

패배자의 삶은 끝났다!
승자가 되기 위한 진짜 싸움은 지금부터다!",http://www.joara.com/premium_new/book_intro.html?book_code=1464825
6,블래스터,송제연,판타지,미제공,미제공,200,20/07/02,완결,http://cf.joara.com/literature_file/20200625_1319086021.jpg_thumb.png,"
체이런 가문의 망나니 소영주 슈린으로 깨어난 동수.
다시 태어나도 흙수저인 인생을 바꾸고 배신자들의 음모에 맞서기 위해,
무엇보다 위험하지만 누구보다 가장 강력한 존재와 계약을 맺는다!",http://www.joara.com/premium_new/book_intro.html?book_code=1464537
7,백작가 서자의 가정교사,남철우,판타지,미제공,미제공,315,19/09/19,완결,http://cf.joara.com/literature_file/20200226_153630.jpg_thumb.png,"
전직 헌터 강태민.
소설 속 주인공의 가정교사가 되다.",http://www.joara.com/premium_new/book_intro.html?book_code=1396790
8,주인공이 불행을 다 막음,언늘,판타지,미제공,미제공,209,20/04/14,완결,http://cf.joara.com/literature_file/20200413_1348075085.jpg_thumb.png,"
불행에 불행을 거듭한 인생이었던 김수운.
그런데 이제 어떤 불행이 닥칠지 미리 알 수 있다고?
오늘부터 불행은 위기가 아니라 기회다!",http://www.joara.com/premium_new/book_intro.html?book_code=1443949
9,더 레바브: SS랭크 기사와 카드마스터,7월아카이브,판타지,미제공,미제공,200,20/07/01,완결,http://cf.joara.com/literature_file/20200618_1723512979.jpg_thumb.png,"
온오프라인이 연계되는 트레이딩 카드 게임(TCG) ‘더 레바브(The Lebab)’.
만년 편의점 알바생 박호웅은 게임을 시작하자 이상한 세계에 떨어지고, 그곳에서 ‘발랑쉐’라는 여기사를 만난다.
그녀에게 게임 룰을 배워 더 레바브 승부에서 이긴 박호웅은 SS랭크 카드인 ‘전설의 기사 발랑쉐’를 손에 넣고, 본격적으로 더 레바브 플레이어가 된다.

카드만 남기고 사라진 발랑쉐를 쫓아 이세계를 탐험하며 레어 카드를 얻고, 현실 세계의 대회에서 활용하여 더 레바브 프로로 나아가는 박호웅.

두 세계를 오가며 진정한 카드마스터의 되어라!",http://www.joara.com/premium_new/book_intro.html?book_code=1462697
