,title,author,genre,publisher,age,total,pub_date,complete,img_src,intro,joara
0,어쩔 수 없이 레벨업,발바롯사,판타지,미제공,미제공,143,17/02/01,미완결,http://cf.joara.com/literature_file/20170322_214701.jpg_thumb.png,"
꿈과 현실이 연결된다!
레벨 업하면 강해지고, 아이템은 현실로 가져올 수 있는 시스템.
그리고 모든 게 시작되는 10년 전으로 돌아간 남자.
""전부 세상을 위해서라니까?""
모든 꿈을 먹어치울, 꿈을 먹는 자의 독주가 시작된다.",http://www.joara.com/premium_new/book_intro.html?book_code=1172565
1,시스템 강호지존,봉월,무협,미제공,미제공,905,18/03/26,미완결,http://cf.joara.com/literature_file/20180416_115819.jpg_thumb.png,"
젊은 나이에 나름 성공한 삶을 살고 있는 소이신, 그는 오래간만에 오른 여행길에서 어이없게도 강도를 만난다. 절체절명의 순간이 다가오자 ‘용감한 시민정신’을 발휘한 그는 칼에 맞아 쓰러지게 되는데…
그런데 의식이 없어져 가는 그의 머릿속으로 들어오는 의문의 기억들.
그리고 눈을 떴을 때, 자신이 현대의 소이신이 아닌 주나라의 소이신이 되었다는 것을 인지하게 되는 순간, 머릿속에 프로그램 ‘최강의 악인’이 가동한다.
“선(善)은 명이 짧고 악(惡)은 천 년을 누리니 이제 나도 최고의 악인이 되어 남이 아닌 나를 위해 살겠다.”",http://www.joara.com/premium_new/book_intro.html?book_code=1271485
2,아르카나 마법도서관,커틀피쉬,판타지,미제공,미제공,778,18/11/14,미완결,http://cf.joara.com/literature_file/20181116_173415.jpg_thumb.png,"
대학원생 이하림은 눈을 뜨자마자 월릿 공국이라는 낯선 나라에 와있다는 것을 알고 당황한다. 그는 문명이 발달하지 않은 이세계에서 졸지에 루시안이라는 빈민 고아의 몸에 빙의되어 살아갈 처지에 놓인다. 믿을 거라고는, 보는 책을 전부 머릿속에 저장할 수 있는 기묘한 능력을 얻었다는 것뿐!

마녀사냥과 마법사 사냥이 빈번한 신분제 사회 월릿 공국.
그 속에서 문맹으로 살아가야 하는 기구한 운명에 놓인 하림.

‘좋아. 이 세상에 있다는 마법을 배워 지구로 돌아가겠어!’

하지만, 마법을 배우려면 돈을 벌어야 한다. 하림은 머릿속에 있는 지구의 클래식 음악들을 표절해 음악가로 명성을 쌓게 되는데….

과연, 하림은 대마법사가 되어서 지구로 돌아갈 수 있을까? ",http://www.joara.com/premium_new/book_intro.html?book_code=1326565
3,성진변,주홍지,무협,미제공,미제공,653,19/02/13,미완결,http://cf.joara.com/literature_file/20190213_160945.jpg_thumb.png,"
[게임 <뇌천기> 원작소설]

진동왕 진덕의 셋째 왕자로 태어난 진우, 그는 선천적으로 내공을 수련할 수 없는 몸이었기 에 ‘운무산장’에서만 처박혀 지내는 신세가 된다.

진덕이 이끌고 있는 ‘진씨 가문’은 잠룡 대륙의 초나라에서도 손에 꼽히는 세도가였다. 세력 다툼이 끊임없이 일어나는 초나라에서 진덕은 어마 무시한 계획을 세우고 있었는데… 내공 고수가 될 수 없는 진우는 자연스럽게 이 계획에서 제외되고 만다.

그리하여 진우는 내공 대신 외공을 연마하여 고수의 경지에 이르고자 한다. 그 과정에서 진우는 '성진변(星辰變)'이라는 극강의 무협 기술까지 발견하게 되는데… 과연 그가 이루게 될 무협의 경지는 어떤 모습일 것인가?",http://www.joara.com/premium_new/book_intro.html?book_code=1349328
4,조자룡 하북제패,천진암,역사,미제공,미제공,251,19/08/01,미완결,http://cf.joara.com/literature_file/20191112_143212.jpg_thumb.png,"
다시 태어난 조운(趙雲)과 함께 떠나는 삼국지 여행.

정사(正史)와 연의(演義)가 주는 즐거움의 기억.

칠실삼허(七實三虛). 회귀(回歸) 판타지와 고전(古典)의 만남.

인간, 정치, 그리고 세상에 대한 이야기.



1부 조운, 젊은 날의 회상과 서기226년~229년의 최후

- 1부 회상(回想) : 1회 ~ 45회

- 1부 북벌(北伐) : 46회 ~ 70회



2부 조운, 사후세계를 통한 주체적 삶의 각성

- 2부 각성(覺醒) : 71회 ~ 81회

(판타지 & 세계관)



3부 조운, 다시 주어진 삶, 주체적 삶을 위한 전진

- 3부 회귀(回歸) : 82회 ~ 85회

- 3부 귀향(歸鄕) : 86회 ~ 170회

(고구려·요동 & 세계관)



4부 조운, 난세를 맞이하는 하북의 인연
- 4부 인연(因緣) : 171회 ~ 250회

5부 조운, 난세를 맞이하는 하북의 변화
- 5부 변화(變化) : 251회 ~",http://www.joara.com/premium_new/book_intro.html?book_code=1386014
5,환생자의 제자,writingbot,퓨전,미제공,미제공,326,19/08/24,미완결,http://cf.joara.com/literature_file/20190824_133934.jpg_thumb.png,"
루데리아에 소환된 학생들 사이에서 다들 최약이라고 부르는 조민호. 

하지만 '재능이 없는 건 아니야.' 

'단지 성장에 필요한 시간이 길어서 지금 당장 눈에 띄지 않을 뿐' 

그 속에서 가능성을 보는 루데리아 최강의 환생자의 제자가 된다!",http://www.joara.com/premium_new/book_intro.html?book_code=1391705
6,귀신 보는 남자 오덕팔,닥터로,판타지,미제공,미제공,251,19/09/30,미완결,http://cf.joara.com/literature_file/20190928_173841.png_thumb.png,"
10년 만에 세상으로 나온 오덕팔

그는 남들이 볼 수 없는 것을 볼 수 있는데...

그것은 바로 귀신...

그러나 귀신을 보는 것뿐만 아니라, 

귀신까지 처리할 수 있는 능력을 가지고 있는데...",http://www.joara.com/premium_new/book_intro.html?book_code=1398658
7,163417413번째 소울라이크 용사,테즈몬,판타지,미제공,미제공,184,19/10/09,미완결,http://cf.joara.com/literature_file/20200422_2150106033.jpg_thumb.png,"
[루프물][용사물]
리제로를 김치에 싸서 드셔보세요",http://www.joara.com/premium_new/book_intro.html?book_code=1400897
8,SSS급 마검사 도련님,꿀피스,판타지,미제공,미제공,243,19/11/10,미완결,http://cf.joara.com/literature_file/20200506_2057224498.jpg_thumb.png,"
노예검투사 소년이 어느 날 대귀족에게 거금으로 팔려갔다.
.......네? 아들이 되라고요?
누나가 둘?",http://www.joara.com/premium_new/book_intro.html?book_code=1406933
9,1993 회귀재벌,소라게,판타지,미제공,미제공,342,19/12/02,미완결,http://cf.joara.com/literature_file/20191212_125211.jpg_thumb.png,"
회귀했다.

격동의 1993년.

10살. 꿈 많던 시절로.",http://www.joara.com/premium_new/book_intro.html?book_code=1411054
