title,author,genre,publisher,age,total,pub_date,complete,img_src,intro,joara
흑막이 돈 좀 막 쓰라고 요구했다,아로니,로맨스판타지,미제공,미제공,122,20/07/01,완결,http://cf.joara.com/literature_file/20200623_1550519421.jpg_thumb.png,"
숙부에게 이용당하다가 죽는 쩌리 오브 상쩌리 단역 엘로이즈에게 빙의했다.
데드 플래그를 피하고자 모색하던 때, 눈에 띈 구인구직 광고!

[일하실 분 : 고수익 보장]

면접만 보러 갔을 뿐이었는데…….

“그럼 할 줄 아는 게 뭐지?”
“아무것도 못하는데요.”
“좋아, 합격.”

피하려던 남자 주인공의 손아귀로 데굴데굴 굴러들어가 버렸다.
주인공들과 더 이상 얽히기 전에 발을 빼려던 엘로이즈. 하지만…….

“반역을 준비할 시간이 부족해.”
“……네? 지금 뭐라고…….”
“이런. 비밀인데 말해 버렸군. 그리고 그댄 들어 버렸고. 이를 어쩐다.”

전혀 곤란한 기색이 아닌데? 아니, 그전에 잠깐! 칼은 왜 만지는 건데!

“아 참. 그런데 엘로이즈 양. 방금 뭐라고 했지? 계약, 안 한다고 했던가?”
“해, 해야죠! 해야죠! 목숨 걸고 열심히 해야죠! 뭐든 시켜만 주세요!”

씩씩한 엘로이즈의 대답에 데인이 씩 입꼬리를 끌어올렸다.
그 미소에 엘로이즈는 등골이 서늘해졌다. 왠지 뭔가 잘못된 것만 같았다.



[#셀프탈모여주, #미인여주, #소시민여주, #여주한정스윗남주, #흑막남주, #아주 약간의 착각계]",http://www.joara.com/premium_new/book_intro.html?book_code=1464044
천국에서 알박기,냥먕이,로맨스판타지,미제공,미제공,105,20/06/26,완결,http://cf.joara.com/literature_file/20200626_0913304433.jpg_thumb.png,"
연옥에 갇혀 구운 계란만 먹고 버티며 죄를 정화한 지 1년.
드디어 천국 문턱을 밟았다.

내 반려자라는 잘생긴 안내 천사와 함께 힐링할 날만 남았다고 생각했는데.

“당신, 영혼이 다 정화되지 않았군요. 대체 1년 동안 연옥에서 무엇을 하고 있었던 겁니까?”
“잠깐만요. 그건 제 잘못이 아니라-.”
“절 1년을 기다리게 하더니, 본인은 1분도 인내하지 못한 겁니까?”

냉정한 천사는 내게 결별을 선언하고, 천국은 날 토해 내려 했다.

나는 결심했다. 기왕 이렇게 된 거 천국에서 끝까지 버티겠다고.
그리고 이 까칠냉미남에게 어울리는 천사가 되어 보란 듯이 프러포즈 해 주겠다고!",http://www.joara.com/premium_new/book_intro.html?book_code=1464745
보스의 품격에 관한 사소한 보고서,이노INO,로맨스,미제공,미제공,77,20/06/24,완결,http://cf.joara.com/literature_file/20200624_0942543159.jpg_thumb.png,"

성격 나쁘고 비열한 보스 한승서를 상대로
양치기 소녀 연희율이 펼치는 희대의 사기극!


공모전에서 대상을 수상해 이드스튜디오에 입사한 연희율.

희율의 성별은 여자.
하지만 이드스튜디오에서 그녀는 남자가 되어야 했다.
여자를 극도로 싫어하는 보스의 밑에서 반드시 일해야 할 이유가 있었기 때문이다.

“제가 보스를 삼 년 반이나 찾아다녔어요.”


유명한 사진작가이자 이드스튜디오 대표, 일명 보스 한승서.

집안도 좋고 능력도 좋은 데다 잘생긴 외모까지 지니고 있지만
성격만은 개차반인 남자.
부하 직원이 자신의 허락 없이 공모전 협찬을 한 탓에
희율을 굴러들어 온 돌이라 인식하고 내쫓기 위해 두고두고 괴롭힌다.

“그래, 어디 한번 해 봐.
네 속셈이 뭔지 모르겠지만 얼마나 버티는지 두고 보자고.”",http://www.joara.com/premium_new/book_intro.html?book_code=1464256
"시나브로, 촉촉",김지호,로맨스,미제공,미제공,100,20/06/19,완결,http://cf.joara.com/literature_file/20200616_1734177922.jpg_thumb.png,"
가랑비에 옷 젖는 줄 모른다는 말처럼
한 방울 한 방울 스며드는 감정이 사랑인 줄 몰랐다.
고등학교 때 처음 만나 친구가 된 지 어언 10년.
나연은 어느새 서준을 좋아하게 되어 버렸지만.

“난 결혼 같은 거 안 해.”
이성에 관심 없는 상대에게 고백해 봤자 차일 게 뻔하다.
“나도. 죽을 때까지 혼자 살 거야.”
그렇다면 지금 이대로도 괜찮지 않을까.

하지만.
스물여덟 살 가을, 나연은 아버지의 강요로 선을 보게 되고
서준은 그녀가 곧 결혼할 거라 오해하게 된다.
그 오해는 더 큰 오해를 불러일으키고,
그저 친구에 불과했던 두 사람의 관계는 점점 더 꼬여만 가는데…….

모르는 사이에 조금씩 스며든 사랑 <시나브로, 촉촉>",http://www.joara.com/premium_new/book_intro.html?book_code=1462146
진짜 조연이세요?,스타캔디.,로맨스판타지,미제공,미제공,90,20/06/19,완결,http://cf.joara.com/literature_file/20200612_1302461177.jpg_thumb.png,"
죽어야하는 조연 샐비아, 남주 테리언 황태자가 이제 막 여주 헬레나의 뺨을 쓰다듬으려는 순간에 하필 그들 앞에 나타난다.

“어..언니?”

놀라는 동생 헬레나. 그 곁에 더 놀라는 테리언 황태자.

“언니가 죽었다고 하지 않았던가?”

“그..그게..”

“거짓말이라니 당신답지 않군.”

차갑게 멀어지는 황태자를 두고 망연자실한 헬레나 앞에서 샐비아는 몸둘바를 모르겠다.

“그게..그러니까...미안하다. 헬레나야.”",http://www.joara.com/premium_new/book_intro.html?book_code=1461028
두 사람 잘 어울려요,녹안.,로맨스판타지,미제공,미제공,100,20/06/19,완결,http://cf.joara.com/literature_file/20200612_1305312003.jpg_thumb.png,"
*오해물, 착각물

어느날 약혼자가 고백했다.
약혼녀인 보니, 그녀가 아닌 딴 '남자'에게 관심이 있다고.
그것도 하필 얼마전 보니에게 사랑을 고백 한 남자에게.
​
""저는 이미 약혼자가 있는데요….""
""알아. 하지만 그래봐야 약혼이지. 천천히 해줬으면 좋겠어, 보니.""
​
약혼자가 있다는데도 보니가 좋다는 미하일 레녹스 공작이나,
​
""미안. 유치하게 느껴지겠지만 조금만 도와줘요, 보니. 공작이 여기를 봤거든요.""
""그럼 지금 볼에 한, 그, 이건...""
""네, 그에게 보여주려고요.""
​
그런 남자한테 빠진 제 약혼자나 둘 다 답이 없지만, 제일 답이 없는 건...
​
""네가 웃는 게 좋아.""
​
두 사람 사이에 낀 보니가 약혼자인 유진 제프리를 사랑하게 되었다는 것이다",http://www.joara.com/premium_new/book_intro.html?book_code=1461029
고귀한 황후,종이한지.,로맨스판타지,미제공,미제공,142,20/06/19,완결,http://cf.joara.com/literature_file/20200612_1317054961.jpg_thumb.png,"
우연히 들어온 황후의 몸에 적응하기 바빴다. 
겨우 여유가 생기자마자 이 세계의 문제점이 하나씩 눈에 들어왔다. 

보호받지 못하는 황녀, 썩어버린 기사단, 배척받는 이종족…. 

눈 감으려면 눈감을 수 있지만 인간적으로 이건 아니잖아!
고민하는데 확실한 중립인 후작이 날 도와준다. 
대체 무엇을 숨기고 있는 걸까? 

기사단 내부 따돌림과 폭행으로 죽은 기사의 일기를 건네받고 후작에게 말했다.

“똑같이 때리고, 똑같이 해주었으면 하오.”

부드러운 미소를 짓고 매일 찾아와 도와주는 후작이 말한다.

“하고 싶으시면 하시면 됩니다.”

뭐든 마음대로 하라는 조력을 받으며 하나씩 세계를 바꿔나가는 황후의 이야기.",http://www.joara.com/premium_new/book_intro.html?book_code=1461031
미래에서 온 진저,은연연,로맨스판타지,미제공,미제공,74,20/06/17,완결,http://cf.joara.com/literature_file/20200615_0946399746.jpg_thumb.png,"
첫사랑이었던 그 남자에게 처절하게 차였다.

“저와 결혼을 해 주셔야겠습니다.”

시간을 거슬러 왔지만,
운명의 장난처럼 이번엔 그와 결혼을 하게 되는데…….

그런데 이 남자, 왜 이렇게 변한 것일까?

전생과는 무엇이 달라졌기에.

광기에 매몰된 그 남자 앞에서, 진저는 비로소 깨달았다.
이제…… 내가 알던 그 사람은 이 세상에 없어.

“……이혼을 하고 싶어요.”

그리고 모든 것을 놓은 순간,
그의 태도가 달라졌다.",http://www.joara.com/premium_new/book_intro.html?book_code=1461771
나의 다정한 행성,호연2,로맨스판타지,미제공,미제공,61,20/06/16,완결,http://cf.joara.com/literature_file/20200616_0919368006.jpg_thumb.png,"

우주를 누비며 무기를 파는 셀족 남자, 라이언 맥닐.
잃어버린 심장을 찾아 날아온 지구에서 한 여자를 만났다.
속셈이 빤한 그녀가 처음부터 내내 거슬렸는데
“맥닐 씨의 마음을 여는 게 제 목표라서요.”
보면 볼수록 자꾸만, 반짝이는 별 같다.

지구로의 이주를 설계해 주는 인간 여자, 정세진.
조용하고 평온한 일상에 웬 남자가 운석처럼 떨어졌다.
까칠한 말투, 서늘한 미소, 관찰하는 시선이 불편하다.
“한눈팔지 말고, 나한테만 온전히 집중해요.”
운석인 줄 알았더니, 블랙홀이었다.

“지구는 세진이 사랑하는 행성이니까, 나도 사랑해 보고 싶네요.”
“좀 알 것 같긴 해요. 라이언의 복잡한 매력 같은 것들.”

은하를 떠돌던 남자와 지구 붙박이 여자가
아득한 우주의 한구석에서 마침내 만나
심장으로 얽히게 된 특별한 이야기",http://www.joara.com/premium_new/book_intro.html?book_code=1462035
제니스,밤밤밤,로맨스판타지,미제공,미제공,155,20/06/16,완결,http://cf.joara.com/literature_file/20200615_1331474037.jpg_thumb.png,"
전생에서 동료와 조직에게 배신당해 죽은 제니스.
불행했던 전생과 달리 이번 생은 북부를 호령하는 백작가에서 태어났지만,
그 행운마저 삐딱하게 바라볼 만큼 인간 불신에 빠져 있었다!

그러나 함께 자란 소꿉친구 플로라가 첫사랑에 빠지면서, 
늘 방관자를 자처하던 제니스에게도 변화가 찾아온다.
에휴, 사랑 그게 뭐라고 그렇게 우는지. 

“원하면 가지게 해 줄게. 그러니 그 흐리멍덩한 눈깔 좀 어떻게 해 봐.”

친구의 사랑을 이뤄주기 위해 온갖 계략을 짜내는 도중, 점점 미스터리한 사건들과 조우하게 되는데....

“너희가 나빴어요. 왜 내 친구가 가는 길에 있었어요? 알아서 피했어야죠.” 

세상사에 관여하긴 싫지만 한번 개입한 이상 끝은 봐야 한다. 
능력 있고 성격은 더더욱 있는, 제니스 린트벨의 이야기!",http://www.joara.com/premium_new/book_intro.html?book_code=1461801
