,title,author,genre,publisher,age,total,pub_date,complete,img_src,intro,joara
0,황녀님을 황제로 만드는 방법,유슬,로맨스판타지,미제공,미제공,129,20/07/02,미완결,http://cf.joara.com/literature_file/20200630_1734238195.jpg_thumb.png,"
황녀 아텔하이트.
살아남는 게 아니라 죽지 않기 위해.

“난... 황제가 될 거예요.”

가장 높고도 찬란한 관을 손에 넣고자 하는 황녀가 있었고,
그 길을 열어주는 이, 그 곁을 지키는 자들이 있었다.
그렇기에 그들은 나아갔고,
우정과 사랑으로 피어난 찬란한 발자국 위로
배신의 칼날이 스며들기 시작했다.",http://www.joara.com/premium_new/book_intro.html?book_code=1465848
1,여라의 잿빛 늑대,이야기꾼,판타지,미제공,미제공,241,15/04/19,미완결,http://cf.joara.com/literature_file/20150828_000932.png_thumb.png,"
심장이 몸 밖에서 자라는 마법사와, 마법사의 심장을 지키는 종복의 잔혹하고 아름다운 메르헨 판타지. 

란트라에서 마법사는 가장 강력하고도 연약한 종족이다. 긴 수명과 강력한 힘을 보장받는 대신 몸 밖에서 자라는 심장은 그 누구라도 깰 수 있다. 이를 지키기 위해 마법사는 티느셰라는 절대적인 충성을 바치는 종복을 거느린다. 
티느셰는 주인-라티샨을 결코 배신하지 않는다.
강력한 마법사 민니르 엣셀티의 딸, 여라 엣셀티는 18년 만에 병상에서 일어나, 어머니에게 서리산이라는 이름의 잿빛 늑대를 티느셰로 물려받는다. 
티느셰는 라티샨의 것, 서리산은 여라의 것이다. 
병상에서 일어난 여라는 서리산과 함께 길을 떠난다. ",http://www.joara.com/premium_new/book_intro.html?book_code=991064
2,아멜리가 연애를 하지 않는 이유,온푸나무,로맨스판타지,미제공,미제공,260,15/04/18,미완결,http://cf.joara.com/literature_file/20150418_105343.png_thumb.png,"
연약한 개체를 노리는 포식자처럼, 남을 유혹하고 살아가는 식충 식물처럼 비열하기를 타고난 사람들.
아멜리는 어수룩한 자신을 세상으로부터 지키기 위해 오늘도 바짝 경계한다.

시골 마을의 약초꾼 아멜리. 자신을 배신한 선배를 피해 외딴 산에 오르다 수상한 동굴에 갇혀버렸다. 
풀을 뜯으며 굶주림을 달래길 수일. 빛나는 풀을 안고 출구를 찾아냈지만, 이미 전에 살던 마을은 물론 나라 또한 멸망한 지 오래였다.

아멜리는 다행히 비밀임무를 수행 중인 공주 일행에게 도움을 받아 도시로 향한다. 그런 그녀를 공주의 호위 기사인 칸이 집요하게 바라보다가, 결국 고백해 왔다. 그녀는 무뚝뚝하지만 진지한 칸의 마음에 흔들리지만, 한번 믿었던 이에게 배신당한 아멜리는 바짝 날을 세우는데…….

기연을 만나 백몇 년의 시간을 뛰어넘어버린 아멜리.
그녀에게 구애하는 남자들로부터 과연 자신을 지킬 수 있을까?

아멜리의 판타지 모험 활극! 로맨스는 주의 요망!",http://www.joara.com/premium_new/book_intro.html?book_code=990759
3,결혼당한 남자,약빤,로맨스,미제공,미제공,123,20/05/15,미완결,http://cf.joara.com/literature_file/20200511_1510332509.jpg_thumb.png,"
“이혼해 줘요.”
“결혼한 적도 없는데 갑자기 무슨 이혼?”
“결혼식은 안 했지만 부부니까요.”
“말장난하지 말고.”
“말장난 아닌데? 이거 봐요.”
“이게 뭔데?”
“혼인관계증명서.”
“뭐? 이 미친……. 야!”

여기, 5년 전 내게 일방적으로 결혼을 ‘당한’ 남자가 있다.
난 오늘, 그에게 돌아갈 준비를 시작했다.",http://www.joara.com/premium_new/book_intro.html?book_code=1452846
4,러브 인 커피,미세스한,로맨스,미제공,미제공,55,20/07/03,미완결,http://cf.joara.com/literature_file/20200703_1008472015.jpg_thumb.png,"
짝사랑 하던 사장님과의 해외출장. 친구의 도움으로 섹시 미녀로 변신하자 서영의 가슴 속에 숨어있던 앙큼여우가 발현했다. 과연 서영은 일중독자 사장님의 가슴을 녹일 수 있을까?",http://www.joara.com/premium_new/book_intro.html?book_code=1466584
5,순간에 빠지다,미세스한,로맨스,미제공,미제공,54,20/07/03,미완결,http://cf.joara.com/literature_file/20200703_1013429087.jpg_thumb.png,"
여자보다 더 아름다운 그를 보는 순간 그는 그에게 빠져들었다. - 정세민
남자로 살아가려했건만 그 남자를 만나는 순간 그녀는 여자가 되고 싶었다. - 앤서니 강",http://www.joara.com/premium_new/book_intro.html?book_code=1466586
6,체인지 허즈번드,미세스한,로맨스,미제공,미제공,107,20/07/03,미완결,http://cf.joara.com/literature_file/20200703_1016256662.jpg_thumb.png,"
한 남자의 아내로, 한 아이의 엄마로 나름 잘살고 있다고 생각했다.

그것이 모래성에 불과했다는 걸 깨닫는 날, 절망에 빠진 연희는 싱크홀에 빠졌다.

눈을 뜬 그녀는 놀랍게도 자신이 찬란했던 스무 살로 돌아왔다는 것을 깨달았다.

이제 남자 따위 믿지 않고 내 삶을 살겠어.

그런 연희의 주변으로 남자들이 꼬이기 시작한다.

연희의 마음을 사로잡는 최종 승자는 누가 될 것인가. 그녀, 강연희의 남자를 길들이는 미션이 시작된다.",http://www.joara.com/premium_new/book_intro.html?book_code=1466588
7,다 벗겨 주겠어!,미세스한,로맨스,미제공,미제공,93,20/07/03,미완결,http://cf.joara.com/literature_file/20200703_1019126686.jpg_thumb.png,"
비리 전담 검사 김우찬. 
그의 눈에 한 여자가 들어왔다. 
단아한 외모에 조신한 행동거지. 
하지만 그녀가 떨어뜨리고 간 휴대폰엔 야한 동영상이 그득한데. 
그로 인해 우찬은 변태라는 오명을 쓰고 경찰 조사까지 받는다. 
그 수치를 겪으며 우찬은 이를 아드득 같다. 
내가 널 다 벗겨 주겠어!
과연 그녀의 실체는 무엇일까?",http://www.joara.com/premium_new/book_intro.html?book_code=1466589
8,알아채기 쉬운,아레시보,BL,미제공,미제공,132,20/07/01,미완결,http://cf.joara.com/literature_file/20200624_1020278949.png_thumb.png,"
※본 작품은 리네이밍 되었습니다.

#사내연애 #리맨물 #재벌공 #연하공 #능글공 #계략공 #집착공 #불도저공
#얼빠수 #연상수 #눈치빠르수 #조용히살고싶수 #능력수 #외유내강수


전무의 아들이 입사를 했단다. 
신입사원은 겨우 4명인데 전무랑 같은 성을 가진 사람은 한 명뿐.

모두들 잘 보이려고 난리가 났는데 나 혼자 이상한 점을 알아챘다.
전무 아들보다는 같이 입사한 조용한 직원 한 명이 유독 눈에 밟힌다.


*


""선배는.""
""응?""
""후배한테 권위의식이 없으시네요. 커피 좀 타 오라고 하면 후배들은 다 타올 텐데요.""
""아? 뭐 이런 걸로 권위 같은 거 내세우기엔 좀 그래 나는. 뭐.""

아무것도 아니라는 듯이 고개를 절레절레 흔들자 서이학은 낮게 웃었다.

""지욱씨가 박 전무님 아들이라서 그러시는 거예요?""
""전무님 아들이라서 챙겨주는거면 내가 이학씨 커피는 왜 타주겠어? 그냥 이게 맘이 편해 나는.""
""선배는 정말 좋은 분 같으세요.""

나는 좋은 낯으로 웃어 보이며 탕비실을 나섰다. 속으로 낮게 웃으면서.

야. 내가 좋은 분이라서가 아니고.

새끼야. 서이학 네가 회장 아들이잖아.",http://www.joara.com/premium_new/book_intro.html?book_code=1464262
9,아콰터파나,서지현,판타지,미제공,미제공,330,15/04/15,미완결,http://cf.joara.com/literature_file/20190521_194531.png_thumb.png,"
독살. 사람을 아무도 모르게 감쪽같이 죽이는 힘. 마력이라고 해도 좋을 만큼 은밀한 살인을 저지르기 위한 비밀스런 도구로 고대부터 계속 사용되어 오던 그것. 역사의 궤적을 더듬다 보면 어쩔 수 없이 만나는 존재.

그리고, 그 독과 마주하는 단 한 사람. 코드네임 「아콰터파나」. 

황궁특수군 유일한 독살감시전담반 라우렌. 
그의 수사가 지금, 시작된다. ",http://www.joara.com/premium_new/book_intro.html?book_code=990081
