title,genre,author,complete,img_src,age,total,pub_date,publisher,intro,href
암흑상제(暗黑商帝),"무협,  판타지","
야생화

",미완결,//cdn1.munpia.com/files/attach/2020/0818/001/a0XhtGebhziQCaRI.jpg,전체이용가,62 회,2020.08.03 11:00,정보 없음,"평범한 사람이 상계를 지배하는 황제가 되는 이야기입니다.
암흑 상제로 한 것은 존재를 드러내는 것이 아니라 은밀하게 조정하는 인물로 그려보고 싶었다.
어떻게 돈을 버는 것보다는 어떻게 돈을 사용하는 것에 중점을 둘 생각입니다.
무협이기에 무와 협이 들어가며 그것이 주입니다.",https://novel.munpia.com/207004
게임천재는 다재다능,"현대판타지,  스포츠","
삼락검

",미완결,//cdn1.munpia.com/files/attach/2020/0703/003/rf3Tz6sFDyW8LxWy.jpg,전체이용가,149 회,2020.06.15 11:00,정보 없음,"어느날 게임속 능력을 현실에서 쓸수 있게 되었다.
축구, 야구, 농구등 스포츠 게임 뿐만 아니라 미연시에 FPS 게임까지.
""도대체 이 세상에 없는 장르의 게임이 뭐야? 이러니 세상이 너무 쉽잖아?""",https://novel.munpia.com/202289
대항해시대에서 살아남기,"대체역사,  퓨전","
커피수염

",미완결,//cdn1.munpia.com/files/attach/2020/0729/004/RmCjN9hUTvaFgIjF.jpg,전체이용가,75 회,2020.08.05 10:00,정보 없음,"대항해시대 영국의 역사라면 하루 단위로 읊으라고 해도 읊을 수 있는 찐 역덕 고대일.
그토록 사랑하는 대항해시대의 데일 드레이크로 빙의했는데.... 선원이 아니라 대장장이?!

하지만 대항해시대의 단물만 쪽쪽 빨아먹기에는 오히려 좋은 기회다.
미래를 아는 사람은 큰그림을 그릴 수 있으니까!

성실연재 꿀잼 보장
(월-금 10:05 / 가끔 하루에 두번 올리거나 주말에도 업로드합니다)",https://novel.munpia.com/213468
검신의 검은 우주를 가르고,"퓨전,  SF","
레니우스K

",미완결,//cdn1.munpia.com/files/attach/2020/0116/004/jP7yEGsSl5XSXhsV.jpg,전체이용가,388 회,2019.06.03 17:00,정보 없음,"점창제일검이자 무림맹의 공동전인으로 수많은 무공을 섭렵한 천룡검신 천화운.
그는 중원을 침공해온 천마신교에 맞섰지만, 잠력을 폭발시킨 천마의 공세에 결국 동귀어진으로 맞받아쳐 죽음을 맞이하고 만다.

그런데 다시 눈을 떠보니, 놀랍게도 아기의 몸으로 환생해 있었다.

무공이 존재하지 않는 21세기 지구에서 그럭저럭 적응해 살아가던 어느날, 그는 정체불명의 힘에 의해 외계의 행성으로 소환되고 마는데....

성계와 은하를 넘나들며 우주의 침략자, 인베이더에 맞서 싸우는 무인의 이야기.",https://novel.munpia.com/147570
불량국가,"현대판타지,  퓨전","
야우사

",미완결,//cdn1.munpia.com/tpl/novel/core/covers/newfantasy.jpg,전체이용가,158 회,2018.08.20 18:00,정보 없음,한반도 이북에 왕국이 탄생했다. 그런데 제 버릇 개 못 준다고.........불량국가라는 오명을 씻기 위한 국격세우기가 시작된다.,https://novel.munpia.com/116692
불꽃의 기사,"판타지,  퓨전","
도동파

",미완결,//cdn1.munpia.com/files/attach/2020/0521/004/5fqQoaqsLAotVE0F.jpg,전체이용가,229 회,2020.03.12 10:00,정보 없음,기사가 되고 싶은 마법 소년의 성장기,https://novel.munpia.com/188861
복학생은 도축마스터,"현대판타지,  판타지","
대박터짐

",미완결,//cdn1.munpia.com/files/attach/2020/0506/003/M8bma5yRatHGrHaY.jpg,전체이용가,189 회,2020.04.27 10:00,정보 없음,"내가 도축한 고기를 먹으면 스탯이 오른다!?
 이걸로 세계최강 헌터를 노려본다!
 그리고.. 연애도...",https://novel.munpia.com/198680
생존게임 : 원 오브 사우전드,현대판타지,어둠의 조이,미완결,//cdn1.munpia.com/files/attach/2020/0507/001/eT054RHxWqvTpCgy.jpg,전체이용가,214 회,2020.05.18 10:00,정보 없음,"[싸워라, 그리고 쟁취하라. 승리한 자, 단 한 명만이 다시 본래의 세계로 돌아갈 자격을 얻을 수 있으리라.]

운명을 바꾸는 자, 나레스에 의해 1,000명이 이계에 납치된다.
그들이 되돌아올 방법은 단 하나!
최후의 1인이 되는 것.

덕망으로 난세를 헤쳐 나가는 기석과
그를 돕는 천재지략가 세란의 혈투.

이 지옥 같은 데스 게임의 음모를 부숴 버리고 귀환하라!",https://novel.munpia.com/205595
환마재림,"무협,  판타지","
류성민

",미완결,//cdn1.munpia.com/files/attach/2020/0708/003/skMdvw6GNLGEiDTb.jpg,전체이용가,114 회,2020.07.15 10:00,정보 없음,"300년전…,

난 남궁세가를 멸문시켰다.",https://novel.munpia.com/206449
치트키를 주운 탱커,"퓨전,  판타지","
예린채린

",미완결,//cdn1.munpia.com/files/attach/2020/0720/003/CEz8LMsmB0LiGulw.png,전체이용가,127 회,2020.07.01 10:00,정보 없음,"#헌터 #몬스터 #탱커 #각성자 #레이드 
쪼렙 헌터가 RPG게임 등에 사용되는 치트키를 주워, 세계 최고의 헌터로 거듭난다!

약 30여년 전 세상이 변해 MMOGPG 게임처럼 각성자와 몬스터가 나타난다.
주인공 현빈은 중앙헌터대학교 학생이나, 각성스킬이 구려 천덕꾸러기.
하지만 이런 주인공에게 기연이 생겼으니...
치트키로 승승장구하며 세계 최고의 헌터로 거듭나지만,
지금까지가 페이즈1 이었다고?
거기에 치트키에도 비밀이 있었으니...

-----
예린채린작가의 네번째 소설~!
[미래컴퓨터를줍다:초갑질기업물 198회 완결]
[차원이동기계를줍다:마법사 130회 완결]
[나노머신으로 투수나 하자 180회 완결]
-----

1일 1회 연재가 되며, 모든 편수는 5800~6500자 사이입니다.
감사합니다.",https://novel.munpia.com/208831
무적신검,무협,"
겨루

",미완결,//cdn1.munpia.com/tpl/novel/core/covers/heroism-18.jpg,전체이용가,81 회,2020.08.12 10:00,정보 없음,내가 가진 것은 검이다.,https://novel.munpia.com/213883
내 딸이 검술 천재,"판타지,  퓨전","
검까

",미완결,//cdn1.munpia.com/files/attach/2020/0529/004/McmrYEgxiCMpQIwJ.jpg,전체이용가,236 회,2020.04.01 17:00,정보 없음,"은퇴한 날 인간과 조금 다른 여자아이를 주웠다.
가혹한 세상에서 홀로 살아남을 수 있도록 조금 가르치기로 했는데...
그런데... 검술의 천재였다.",https://novel.munpia.com/192546
삼국지 여포전,"대체역사,  무협",박민우,미완결,//cdn1.munpia.com/files/attach/2018/0425/001/f3sNdMVWiP23jSqN.jpg,전체이용가,"1,433 회",2015.06.19 17:48,정보 없음,"천하를 웅패하고자 영웅들이 난무하던 시대.
최고의 무장 여포는 한순간의 실수로 역사의 뒤안길로 사라졌다.
삶의 마지막 순간,

“내게 단 한 번만 기회를 준다면 천하를 웅패하리라!”

그리고 눈을 떴을 때, 그는 혈기왕성하던 이십 대로 돌아와 있었다.
시간을 거슬러 돌아온 여포,
그의 파란만장한 천하웅패기가 이제 펼쳐진다!",https://novel.munpia.com/33554
"재벌집 서자, 그레이트 어게인","현대판타지,  판타지","
굿라이버

",미완결,//cdn1.munpia.com/files/attach/2020/0102/001/VJQoT4BBPkkblF1q.jpg,전체이용가,222 회,2019.11.08 11:00,정보 없음,"[현대판타지] [재벌] [회귀] [황금전쟁][세계금융대전]
폭망한 재벌가 2세 다시 기회를 얻다.
세계 제 1 금융권력을 향한 그의 도전...",https://novel.munpia.com/170541
사상최강의 데릴사위,"판타지,  무협",침묵적고점,미완결,//cdn1.munpia.com/files/attach/2020/0409/000/kHYqHVYAJh4p48ZO.jpg,전체이용가,575 회,2019.10.08 09:30,정보 없음,,https://novel.munpia.com/170767
경여년,"판타지,  무협",묘니,미완결,//cdn1.munpia.com/files/attach/2020/0526/004/C8AG5yKV7529ggon.jpg,전체이용가,491 회,2019.10.01 09:00,정보 없음,,https://novel.munpia.com/170769
중생지마교교주,"판타지,  무협",봉칠월,미완결,//cdn1.munpia.com/files/attach/2019/0909/001/Y6kGIk7w9GnCH0C5.jpg,전체이용가,563 회,2019.10.01 09:00,정보 없음,,https://novel.munpia.com/170770
초왕비,"로맨스,  판타지",영아,미완결,//cdn1.munpia.com/files/attach/2019/0930/002/pcku4Ybf1Z7LfoU2.jpg,전체이용가,660 회,2019.10.23 09:00,정보 없음,,https://novel.munpia.com/173951
은혜로운 회사생활,"현대판타지,  판타지","
혜인태

",미완결,//cdn1.munpia.com/files/attach/2020/0417/001/Ctol90bhF2FJ4RvT.jpg,전체이용가,180 회,2020.04.17 00:00,정보 없음,오지에서 온 청년의 사회생활 적응기.,https://novel.munpia.com/192712
강자의 길,"무협,  판타지","
pacar

",미완결,//cdn1.munpia.com/files/attach/2020/0615/004/SXiM4WYQGSd4vcdk.png,전체이용가,189 회,2020.06.29 09:00,정보 없음,"강한 무인이 되어서 어머니를 지키며 그렇게 살고자 했지만, 어머니의 마지막 유언만 남았다. 그 유언의 끝을 잡고, 강함의 끝이 뭔지 가보기로 결심했다. 무사의 길인지, 군주의 길인지는 모르겠지만, 포기하지 않았다. 그렇게 걷다보니 천하제일이 되고 황제도 되었다.",https://novel.munpia.com/198223
막내가 재벌 접수,"판타지,  현대판타지","
타오르

",미완결,//cdn1.munpia.com/files/attach/2020/0811/003/YX5NU9FmVkacvSaF.jpg,전체이용가,85 회,2020.08.04 11:00,정보 없음,재벌집 막내아들도 먹고 살려면 사냥해야 합니다,https://novel.munpia.com/206745
