title,author,genre,publisher,age,total,pub_date,complete,img_src,intro,ridibooks
사탕 도깨비,카르페XD,BL연재소설,B&M,19세 이용가,50,2020.05.28.,미완결,//img.ridicdn.net/cover/2093055302/xxlarge,"#현대물 #판타지 #전생/환생 #인외존재 #미스터리/오컬트 #연예계 #초능력 #오해/착각 #복수 #싸이코패스 #재회 #서브공있음 #다정공 #집착공 #스토커공 #짝사랑수 #미인수 #순진수 #적극수 #사랑꾼수 #사건물 #달달물 #3인칭시점


금이 간 유리병은 오래도록 땅속에 파묻혀 있었다. 지나가던 작은 짐승 덕분에 겨우 햇빛과 달빛을 받아 자그마한 자아를 싹 틔웠으나 시간이 흐를수록 점점 유리병의 금은 깊어지고 맑은 빛을 잃어 가기만 했다.
그러던 어느 날, 어느 고아한 선비님이 유리병을 발견했다. 선비님이 죽어 가는 유리병을 위해 피를 내어 주었을 때, 마침내 유리병의 도깨비가 태어났다.

*

국내 최고 엔터사 도비 엔터테인먼트의 간판 배우 이비원.
사람을 좋아해 언제나 사람 홀리는 미소를 잃지 않는 그는
사실 유일하게 낮에 돌아다닐 수 있는 낮도깨비, 이비였다.

이 비밀 많은 회사에 인간 아닌 것이 그 하나뿐이랴.
애초에 설립부터 도깨비 왕 이곡의 인가하에 추진되었으니,
온갖 이매망량의 보금자리가 된 도비 엔터의 앞날은 밝기만 했다.

어느 날, 두 도깨비가 사라지기 전까지.

“도깨비들은 사냥꾼에게 잡혀갔어.”
“……사냥꾼이라니. 무슨, 어떤 사냥꾼?”

사냥꾼이라 함은 요괴를 사냥하는 이들을 일컫는 말이라.
500년 평생 본 일이 없는 이들을 마침 이비도 며칠 전에 마주쳤는데.
첫 만남은 어둑한 골목길에서 피비린내와 함께 이루어졌으나,
어째 그 두 번째 만남은 예상치 못한 곳에서 튀어나왔다.

‘아니, 이자가 왜 여기에 왔지?’
“이비원 씨 팬이에요.”
“……네?”

바로 그의 팬 사인회였다.
무섭고도 강렬한 인상을 남긴 사냥꾼은 이비의 호감을 이끌어 내고,
도깨비 생을 뒤흔들 세 번째 만남으로 다시 그를 찾아왔다.

“어서 빨리 선비님을 다시 만났으면…….”

아주 오래전부터 습관처럼 바라 온 소망이,
평생 잊지 못했으나 잊어야만 했던 꿈이 마침내 결실을 볼 때였다.",https://ridibooks.com/books/2093054829
케미스트리,러멜,BL연재소설,뷰컴즈,19세 이용가,43,2020.06.07.,미완결,//img.ridicdn.net/cover/3049008609/xxlarge,"가난한 대학생 유은성은 방학을 맞이하여, 숙식 제공에 어마어마한 과외비를 주는 고액 과외를 맡게 된다. 그렇게 입성한 대궐 같은 한옥집. 그런데… 이 집, 이 집의 형제들, 뭔가 심상치 않다.

***

“우리 집에 알파가 셋이 있어.”

연우는 제 다리를 흔들다가 생각이 났다는 듯 은성을 보며 입을 열었다.

“한 놈, 두 놈, 세 놈. 다 남자 알파야.”

은성은 머릿속으로 제 히트 사이클 주기를 떠올리고는 다시 연우의 손가락에 집중했다.

“그 중에서 이놈이랑 이놈은 조심해.”

연우는 그 중 검지와 중지를 두드리며 말했다. 둘째와 셋째.

“이 새끼들은 좆질에 환장했으니까.”

연우는 입이 험했다.",https://ridibooks.com/books/3049008520
오르카 맨션(ORCA MANSION),문스트럭,BL연재소설,비욘드,19세 이용가,52,2020.05.21.,미완결,//img.ridicdn.net/cover/4267000052/xxlarge,"먼바다의 영토 전쟁에서 3년 만에 돌아온 오르카는 수면을 방해하는 소리를 따라 숲의 호수로 향한다. 모두가 잠든 깊은 밤, 숨죽여 저택을 빠져나가는 하인이 저의 지루함을 달래 줄 거라 확신했다. 하지만 오르카가 호수에서 가장 먼저 맞닥뜨린 건 뜻밖에도 하인이 벗어둔 옷가지였다.

몰래 나와 한다는 짓이 나체 수영이라….

“벌을 줄까.”

도망치려는 변태 하인을 붙잡아 무릎 꿇린 오르카는 자신이 기대한 것과는 다른 대답을 듣게 된다.

“우윽… 밥, 호수에…, 몰래, 흐… 먹으러, 잘못했어요, 흐흑, 도련님, 잘못했어요….”

이 무슨 머저리 같은 말일까.

겁에 질려 엉망으로 나열되는 단어를 조합해 본 오르카가 물먹은 얼굴을 지나 앙상하게 마른 몸뚱이로 눈길을 돌렸다. 그럴 기분이 되면 당장이라도 팔다리를 부러뜨릴 수 있는 체구였다. 나체 수영이나 즐기는 변태 하인을 좀 골려주려던 게 완전히 틀어져 버리고 말았다.",https://ridibooks.com/books/4267000001
살아남아라! 광공!,이설린,BL연재소설,B&M,19세 이용가,73,2020.04.12.,미완결,//img.ridicdn.net/cover/2093055340/xxlarge,"#현대물 #판타지물 #오해/착각 #차원이동/영혼바뀜 #게임물 #리맨물 #정치/사회/재벌 #할리킹 #라이벌 #삼각관계 #코믹/개그물 #피폐물(?) #광공(내용상) #냉혈공(내용상) #서브공있음(내용상) #다정공(내용상) #미인수(내용상) #허당수(내용상)


후배가 만든 BL 게임 속 광공에 빙의했다.
이름만 같았지, 광공 ‘곽선우’와 소시민 ‘곽선우’ 사이에는 어떤 공통점도 없었다.
사람 사는 흔적이 없는 검정 일색의 집, 에비X과 양주만 들어 있는 냉장고.

“앗 차거!”
< 광공으로서 적합하지 않은 말을 뱉었습니다. 광공 수치가 9 하락합니다. >

해바라기 샤워기에서 떨어지는 물로만 샤워하되, 물 온도는 조절할 수 없다.
핫초코가 절실하지만 가능한 커피는 에스프레소와 아메리카노뿐.
인생 음식이었던 닭한마리는커녕 프랜차이즈 샌드위치조차 선택하지 못한다.
수시로 취소되는 식사 시간을 어떻게든 지켜 내야 한다.

“어떻게 한 끼만이라도…… 제대로 챙겨 먹으면 안 될까?”

< 광공은 음식에 집착하지 않습니다. 광공 수치가 2 하락합니다. >
< 현재 광공 수치는 49입니다. >
< 광공 수치 50 미만으로 ‘상태 이상: 불면증’ 발생! 광공 수치를 올려 해결하십시오. >

이렇게 각박한 세상에서 광공이 사람다운 삶을 살 수 있도록 해 주는 건 오직 메인수 한 사람뿐!
……이라는데, 절대로 이상한 분위기를 만들고 싶지 않다.
메인수에 대한 이유 모를 애정과 서브공만 보면 터지는 분노.
시스템이 강요하는 감정을 한 귀로 흘리며, 선우는 선택지를 고르기 바쁘다.

‣ “닥쳐!”
‣ “꺼져!”
‣ “헛소리!”

고를 수가 있다면 말이다…….",https://ridibooks.com/books/2093030947
데스 오어 파라다이스,Whale,BL연재소설,모드,19세 이용가,59,2020.05.17.,미완결,//img.ridicdn.net/cover/297028869/xxlarge,"※주의 사항: 해당 작품에는 기피 요소(강제 행위, 폭행 등) 묘사가 존재하며, 작중에 등장하는 범죄 장면은 모두 허구임을 밝힙니다. 구매에 참고를 부탁드립니다.

갑작스러운 아버지의 자살.
홀로 지키는 빈소에는 빚쟁이들만 찾아온다.

빙글거리는 말투에 망나니 같은 행동.
불온할 정도로 잘생긴 사채업자 주신도는 사채 빚을 빌미로 해림을 사지로 몬다.
하는 일이라곤 범죄밖에 없는 남자에게 걸린 해림은 빠져나올 구멍을 찾지 못하고…….

고여 있는 연못처럼 파동 없이 살고 싶었던 해림의 삶을 흙발로 걷어찬 남자.

붉은빛이 도는 눈동자가 해림의 목줄을 죄듯이 선명했다.",https://ridibooks.com/books/297028471
오직 네 죽음만이 나를,플로나,BL연재소설,MANZ’,19세 이용가,124,2020.02.25.,미완결,//img.ridicdn.net/cover/1629002906/xxlarge,"#드래곤공X황태자수, #강수, #검사수, #미남수, #후회후집착공

‘용은 라르칸 황가의 소유이며, 도구이다.’

1500년이라는 오랜 시간 동안 황궁에 매여 있으면서도
이름 하나 지어 준 이가 없는 용의 처지는 
평민으로 살아왔던 컬렌 자신보다도 못했다. 

사람을 몰살시켰다 알려져 있으나
사실은 약속의 이행을 거부했었다는 그가 
모른 척하려 해도 컬렌은 자꾸만 눈에 밟힌다.

""사죄의 의미로 이름을 드려도 되겠습니까?”
""처음으로 마음에 드는 짓을 하는구나.”

고작 이름 하나에도 기뻐하는 그에게 속절없이 끌린다.

저 깊은 곳에 묻어 두었던, 모두 버렸다 생각했던 
마음이, 감정이, 자꾸만 고개를 쳐들었다.

이에르키시옌. 
키옌.

저는, 당신을…….",https://ridibooks.com/books/1629002509
우당탕탕 출산기,건전지,BL연재소설,레드피치,19세 이용가,44,2020.06.04.,미완결,//img.ridicdn.net/cover/4170000045/xxlarge,"“축하드립니다. 임신 6주차시네요.”
“예?”

천사랑. 30세 넘은. 데뷔 7년차 중견 아이돌 그룹 오메가6(오메가식스)의 리더.
모태 솔로 순백의 천사돌이 세일즈 포인트였던 청년은 방금 임신 6주차 판정을 받았다.

사랑에게만 한없이 다정한 불도저 직진공 슈퍼스타 배우 강우성과 할 말 다 하는 아이돌 천사랑의 갑작스럽지만 따뜻한 힐링 출산기!",https://ridibooks.com/books/4170000002
머피의 법칙,아그든,BL연재소설,고렘팩토리,19세 이용가,70,2020.05.24.,미완결,//img.ridicdn.net/cover/2107061790/xxlarge,"[다공일수, 빙의, 광공, 미인공, 집착공, 개아가공, 절륜공,
다정공, 직진공, 미인수, 얼빠수, 병약수, 눈새수, 굴림수, 소심수]


로맨스 소설 속의 병약한 조연, 하여울에게 빙의했다.
시도 때도 없이 몸이 아픈 것도 억울한데,
남주인공 셋이 돌아가며 괴롭힌다.

첫 번째 남주, 모태희.

“내 앞에서 다른 새끼 생각하지 말라고 했잖아, 여울아.”

두 번째 남주, 남강우.

“조심해.”
“……뭐?”
“자꾸 움직이지 말라고. 참고 있으니까.”

세 번째 남주, 서재훈.

“나도 이제 안 참으려고.”
“…….”
“내가 가질 거야.”

이 새끼고, 저 새끼고 다 알 수 없는 말만 해 대서 머리가 아프다.

대체 왜 여주인공은 코빼기도 안 비치는 거고,
너희는 왜 나를 볼 때마다 기갈을 해소하고 싶다는 듯 보는 걸까.

“아슬아슬해, 우리 다. 한 발만 더 가면 선을 넘을 것 같은데,
약속이라도 한 듯이 안간힘을 다해 참고 있잖아.”
“…….”
“선을 넘기 전에 니가 넘어오는 것도 방법이라고.”
“…….”
“알려 주는 거야.”

선을 넘으면 뭐가 달라지는 걸까?
여울은 과연 이들에게서 벗어날 수 있을까?",https://ridibooks.com/books/2107061677
윈터 헌팅,노랑무늬,BL연재소설,비욘드,19세 이용가,50,2020.05.26.,미완결,//img.ridicdn.net/cover/4274000050/xxlarge,"바엘로스 제국에서 유력 가문의 영주 후계자들은 
매년 겨울마다 수도에 모여 황자들과 함께 사냥을 해야 하는 의무가 있다.
사냥은 외부인 출입이 불가능한 황실 소유의 숲에서 벌어지며,
영주 후계자들은 개인 병사를 대동하는 것이 금지되어 있다.
'겨울 사냥'이라고 불리는 이 제도는 실상 영주가 가진 힘을 견제하기 위해 고안된 제도로써,
영주 후계자들을 한동안 무방비 상태로 만들어 인질로 삼기 위한 목적을 가지고 있다.
사냥이 끝나고 나면, 겨울 내내 수도에 체류하며 황실의 영향력 아래 있어야 한다.

알파가 제1계승권을 가지고 있는 바엘로스 제국에서 
얼마 되지 않는 베타 후계자인 에드윈 그레니엄.
에드윈은 후계자들의 겨울 사냥 도중 
느닷없이 찾아온 히트사이클 증상으로 시종과 함께 피신하게 된다.
그런 에드윈 앞에 더 큰 불운이 기다리고 있는데......",https://ridibooks.com/books/4274000001
아더사이드 아더월드,로콱스,BL연재소설,뷰컴즈,19세 이용가,107,2020.01.25.,미완결,//img.ridicdn.net/cover/3049008641/xxlarge,"세계가 몇 개의 나라로 축소되고, 인류에는 에스퍼와 가이드 발현자가 나타난다.

귀(鬼)를 부리는 한 씨 일족의 이든 프레스콧은 수호귀(守護鬼)를 받는 의식을 치르던 중 적국 아이툴리아의 습격을 받게 된다.

의식을 중단할 수 없었던 이든의 부모와 장로들은 자신들을 희생하여 이든을 그들조차 알 수 없는 곳으로 날려버리고.

작은 시골 마을에서 기억을 잃은 척하며 살고 있던 이든은 유령 저택이라 불리는 곳에서 발작이 일어나기 직전의 블리스 무어와 마주치게 되는데......

* * *

고개를 숙이고 있던 이든이 각오를 다지듯 번쩍 고개를 들었다.

“첫 키스가 전장에서라. 점막 접촉. 하하.”

그리고 블리스에게 돌진했다.

“자, 잠깐! 이든, 이, 이든!”

리암이 놀란 얼굴로 이든을 불렀으나 이미 각오를 마친 이든은 격렬한 기운을 내뿜으며 멍하니 있던 블리스의 얼굴을 잡아 내리고 있었다.

“흐읏!”

과감하게 입술을 겹쳤다.

『야! 입술 박치기만 할 거야?!』

저 고자 새끼가.
이든은 질끈 눈을 감고 블리스의 입술 사이에 혀를 쑥 집어넣고 무턱대고 비비적거렸다. 리암의 눈에 결코 그건 키스라고 보이지 않는 것이었지만, 동자 귀신인 유월은 손뼉을 치며 좋아했다.

그리고.

“……이거, 왜 이런가요.”
“……이든, 호, 혹시. 복상사라고 들어봤습니까.”",https://ridibooks.com/books/3049006741
