title,author,genre,publisher,age,total,pub_date,complete,img_src,intro,ridibooks
방송 켜셔야죠,파란비,BL연재소설,딥블렌드,전체 연령가,101,2020.02.11.,미완결,//img.ridicdn.net/cover/3822001091/xxlarge,"도윤은 일반인이다.
정확히는 얼굴 없는 피팅모델 알바를 하는 일반인.

그러던 어느 날.
한가로운 토요일 오후를 보내고 있는데, 게임 스트리머이자 친구인 창혁에게 저 대신 ‘합동 방송’에 참여해 줄 것을 부탁 받는다.

그런데.

[닥치라고 했잖아, 개돼지들아. 아주 왈왈, 꿀꿀꿀 시끄럽네.]
“…….”

……합방 분위기가, 보통이 아니었다.
도윤은 과연 합방을 무사히 끝낼 수 있을까?",https://ridibooks.com/books/3822000645
빙의했더니 소꿉친구가 싸패서브공,늑대별아,BL연재소설,M블루,전체 연령가,77,2020.04.03.,미완결,//img.ridicdn.net/cover/2200033943/xxlarge,"빙의했다. 그것도 억울한데 하필이면 주인공도 아닌 싸패 서브공에게 죽임을 당할 엑스트라역이다? 이왕 원작을 아는 거 어떻게든 살아 보겠다 길들였는데 웬걸, 오히려 제게 집착해 온다?

""내게서 도망칠 생각은 두 번 다시 하지 않는 게 좋을 거예요.""


Copyrightⓒ2020 늑대별아 & M Blue
Illustration Copyrightⓒ2020 코멜로
All rights reserved",https://ridibooks.com/books/2200033028
0과 1,민온,BL연재소설,카멜리아,전체 연령가,127,2020.01.14.,미완결,//img.ridicdn.net/cover/3190000234/xxlarge,"여성향 연애 시뮬레이션 게임 속 공략 캐릭터에 빙의했다.
1왕자 에드워드에 대한 열등감을 해소하려고 여주를 꼬시는 2왕자로.
난 에드워드에게 살해당하기 싫다.
남의 연애 방해하기도 싫고, 미움받기도 싫다.

“네가 좋아하는 사람이잖아. 난 아무 감정 없어.”
“그래. 좋아하지 않는 게 좋을걸. 네가 그녀와 이어질 일은 없을 테니까.”",https://ridibooks.com/books/3190000077
시한부 황자로 사는 법,전기쥐꼬리,BL연재소설,블래스트,전체 연령가,65,2020.03.14.,미완결,//img.ridicdn.net/cover/3864000849/xxlarge,"*시한부 황자로 사는 법 삽화본입니다.

#판타지물 #황자수 #병약수 #다정수 #황제공 #헌신공 #짝사랑공

죽기 전에 읽던 판타지 소설에 빙의했다.
메인 악역의 형으로. 심지어 시한부.

낮에는 몸져 눕고 밤에는 이게 사는 건가 싶은 이세계 라이프.

한 마디로 표현하자면... 하…",https://ridibooks.com/books/3864000713
"친우여, 너를 기다렸네.",실롯테,BL연재소설,BLYNUE 블리뉴,전체 연령가,54,2020.04.21.,미완결,//img.ridicdn.net/cover/2336003983/xxlarge,"#NPC공 #왕자겸기사단장공 #매너좋공 #수의최애캐공 #은근질투하공 #옆게임에갇혔수 #밸붕먼치킨수 #전직업만렙수 #성공한덕후수

너네가 친구 사이면 난 친구 하나도 없다….

가상 현실 게임 ‘더 헌터스’의 유저 안드레알푸스는 콜라보 이벤트에서 옆 게임 '나이츠 오브 다크에이지스'의 NPC 아즈라엘을 만난 뒤 그에게 푹 빠졌다. 그를 만나고 싶지만 게임 성향이 맞지 않아 일 년이 넘도록 아즈라엘 앓이만 하던 안드레알푸스. 그러던 어느 날, 그는 자기도 모르게 '더 헌터스'에서의 모습 그대로 옆 게임으로 강제 이동되고, 로그아웃마저 되지 않는다. 그런 그의 앞에 그토록 보고 싶어 하던 아즈라엘이 나타나는데….

게임 속에 갇혔지만 최애캐와 함께하니 괜찮…….을까?

#서양풍 #판타지물 #친구>연인 #동거/배우자 #다정공 #사랑꾼공 #순정공 #미인수 #명랑수 #적극수 #우월수 #순정수 #짝사랑수 #능력수 #차원이동/영혼바뀜 #초능력 #왕족/귀족 #게임물 #기다리면무료 #연재중 #코믹/개그물 #달달물 #사건물 #수시점

[미리보기]

하지만 다시 달리기 시작한 지 겨우 오 분 정도가 지난 시점에서, 나는 더 이상 이동할 수 없는 처지에 처했다.

“누구냐! 멈춰라!”

나는 나를 향해 검을 겨눈 수십 명의 기사들을, 유니콘 위에 앉은 채로 당황스럽게 내려다보았다.
상태창을 열어 보니 체력이 팔천 대인 NPC들이었다. 이 이벤트에서 만난 것들 중에서는 가장 체력이 높았다.
무시하고 이동하려면 얼마든지 이동할 수 있을 것 같은데. 나는 가볍게 머릿속으로 이 NPC들과 전투를 하는 게 나을지, 이대로 무시하고 달려서 떼어내는 게 나을지를 계산했다. 아무래도 누가 봐도 사람의 모습을 하고 있으니 전투를 하기엔 거부감이 들었다.
전투 상대에게 수면이나 마비를 걸 수 있는 직업으로 직변을 해서 떼어내는 것도 나쁘지 않을 것 같지만, 이미 지금은 전투가 시작된 상황이었다. 즉, 직업변경은 불가능했다.
도망가는 게 나을 것 같은데. 체력이 팔천 언저리이니 나에게 주는 데미지가 그리 크지도 않을 것 같고, 무엇보다 소환사는 여러 명의 적과 전투하는 데 쓰는 스킬이 딱히 없어 보스 몬스터 레이드에서나 쓰는 보스 레이드 전용 직업이었다.
좋아, 도망가자.
나는 그렇게 도망갈 각을 재고 있었다.
누군가의 목소리가 들리기 전까지.

“안드레알푸스?”

나는 갑자기 내 닉네임을 불린 것에 깜짝 놀라 유니콘에서 굴러떨어질 뻔했다. 빈말이 아니라 진짜로 떨어질 뻔해서, 나를 향해 검을 겨누고 있던 기사들이 깜짝 놀라 후다닥 검을 치웠을 정도였다.
안드레알푸스, 하고 내 닉네임을 부른 자는 다른 기사들과 비슷하게 전신 갑옷을 입고 있었다. 검은색 갑주를 입고 투구까지 쓰고 있었는데, 다른 기사들과는 다르게 금빛의 문양이 투구에 새겨져 있어 그가 이 기사단을 이끄는 위치에 있는 자라는 것을 쉽게 알 수 있었다.

“누, 누구세요?”

간신히 낙마를 면한 내 입에서 튀어나온 말은 누구라도 당황했음을 쉽게 알 수 있을 만큼 흔들리는 목소리였다. 뭐야, 누군데. 초면의 NPC가 유저의 이름을 알고 있는 일은 흔하지 않았기 때문에 더더욱 당황스러웠다.
내 멍청한 목소리를 들은 남자는 투구 속에서 웃음소리를 냈다. 나는 바보_취급을 당하는 것 같아서 조금 울컥했다. 남자는 이내 제 투구를 벗어 보였다.
그 투구 밑에서 드러난 얼굴은 내가 익히 잘 아는 얼굴이었다. 푸른빛 눈, 환한 금발, 다정한 미소.

“친우여, 너를 기다렸네.”

그리고 내가 이 세상에서 가장 듣고 싶어 하던 말까지. 나는 이 상황에 대한 판단이고 뭐고, 환하게 웃으며 그에게 대답할 수밖에 없었다.

“보고 싶었어, 왕자님.”",https://ridibooks.com/books/2336003783
"황자님, 먹고 싶어요",찹챕찹,BL연재소설,페로체,전체 연령가,77,2020.04.09.,미완결,//img.ridicdn.net/cover/3885002271/xxlarge,"세네카 제국의 쓸모없는 4황자로 빙의한 당일,
상황을 파악하기도 전에 미르는 적국인 프레오나 제국의 볼모 신세가 된다.

게다가 적국의 2황자는 미르에게
눈엣가시인 황태자를 처리하는 조건으로 귀양을 보내 주겠다는
불공정하고도 위험한 거래를 제안하는데.

헬조선을 버텨 온 눈칫밥으로 기지를 발휘해
2황자에게 미끼를 던져 주고 북쪽 땅으로 유배를 오게 된 미르,
드디어 꿈꿔 왔던
요리하고 농사 짓는 유유자적한 귀양살이를 즐기게 될 줄 알았건만…….

“젠 이프리트라고 합니다.”

그가 나타났다.
위기에서 벗어나기 위해 미르가 2황자에게 미끼로 던진 젠 이프리트.
설마 ‘그’ 이프리트가 사지 멀쩡히 살아서 돌아올 줄이야!

“잘 지내봐요, 황자님.”

첫 만남부터 어긋난 두 사람.
과연 미르는 젠과 함께 평탄한 유배 생활을 할 수 있을까?",https://ridibooks.com/books/3885001503
혼불,톨쥬,BL연재소설,비욘드,전체 연령가,114,2020.04.14.,미완결,//img.ridicdn.net/cover/4163000115/xxlarge,"악귀로 인한 재액과 변고로부터 인간을 수호하는 국가 기밀기관 나례청.
나례청의 수석 나자, 윤태희는 새로운 후임을 영입하기 위해
귀신을 보고 들을 수 있는 능력을 가진 ‘귀재’를 찾아다닌다.

그러던 어느 날, 정체를 숨기고 암행에 나선 윤태희는
지방 소도시의 한 고등학교에서 수상한 소년을 만나게 되는데….

“근데, 친구는 몇 살이에요?”",https://ridibooks.com/books/4163000001
이불 밖은 위험해!,MayBee,BL연재소설,글로번,전체 연령가,58,2020.05.05.,미완결,//img.ridicdn.net/cover/2749013821/xxlarge,"여신님과 작당하여 용사가 된 이안.

거짓 마왕을 물리치고 용사로서의 일을 마친 현재,
그의 꿈은 오로지 하나다.

명예, 부귀영화?
아니, 이제는 평생 침대에 누워서 놀고, 먹고, 자기만 할 테다!

왜냐고? 이불 밖은 위험하거든.

나의 자유시간아, 그리웠어!

*

“여신님, 여신님의 말도 안 되는 계략에 빠져 마왕을 물리쳤으니, 제 소원 하나만 들어주세요!”

[그래, 한번 말해 보렴.]

“이제 복잡한 일에 휘말리지 않고 평생 놀고먹고 쉬고 싶어요.”

[좋다. 그렇다면 세상이 전부 네가 뒹굴거리며 놀게 도와주도록 하지. 
 네 주변에서 어떠한 일이 일어나든, 네가 신경 쓰지 않아도 괜찮도록 해 주마.
 수고했다, 나의 아이야. 이제 편히 쉬어라.]


평생 누워서 놀고먹게 되었으니 틀린 말은 아니었지만...

“쿨럭-”
“용사님!”

아니, 여신님! 저는 이런 병약한 환자가 되길 바란 게 아니라고요?!

*

대업을 마치고 자유만을 원하는 이안,
하지만 그런 그를 가만히 두지 않는 동료들.
그는 과연 진정한 자유를 누릴 수 있을까?",https://ridibooks.com/books/2749013291
칼.꼽.슬 -망겜으로 구독자 1억 달성 챌린지-,민트란,BL연재소설,러스트,전체 연령가,42,2020.06.09.,미완결,//img.ridicdn.net/cover/845019927/xxlarge,"#게임빙의 #슬라임공 #근엄진공 #스트리머수 #댕댕수 #이공일수(?)

[여신의 땅 시작하면 100만 원]

구독자 9.8만의 고딩 게임 스트리머, 서진건.
어느 날 그는 방송 구독자들에게 <여신의 땅>이라는 망겜을 제안받는다.
후원 금액에 홀려 게임을 시작하고 마는데-.

[세상이 존나 망해버렸으면 좋겠다]

-라는 미친 신탁을 내리는 여신이 살아 숨쉬는 망겜 세계로 넘어가 버렸다.
여신의 주선으로 만난 성녀도 만만치 않았다.

“여신 그 또라이 때문에 저희 세상이 망하고 있다고요!”
“아 네…….”
“지구인 선생님! 저 좀 도와주세요. 구독자 1억이면 됩니다!”

진건이 성녀를 뿌리쳤다.

“일억 구독자라니 장난해요? 집에나 보내 주세…….”
“군면제.”

성녀가 비장하게 목소리를 깔았다.

“다시 오는 조건이 아닙니다.”

그녀는 성녀라기보다 장사꾼 같아 보였다. 
그것도 다단계 장사꾼.

그렇게 진건은 떠밀리듯 일생일대의 게임을 하게 되는데-.
시작부터 대형 사고를 쳐 버렸다.

“미친…….”

용을 물리친 전설의 검. 용사만 만질 수 있다는 그 검.
Lv.2 슬라임에 꽂힌 채 봉인이 풀렸다.

「소년이여.」
「나 그대의 발치에 있도다.」

세상이 미쳐 돌아간다.",https://ridibooks.com/books/845019886
외계 생물의 씨앗,동전반지,BL연재소설,열매,전체 연령가,123,2020.01.02.,미완결,//img.ridicdn.net/cover/3542000134/xxlarge,"외계의 행성에서 실험동물로 태어난 재우. 
실험체였던 그는 연구가 끝나자 멸망한 행성인 지구에 버려진다. 

재우는 그곳에서 어린 소년을 만나게 되고, 생존을 위해 소년을 이용하기로 한다. 
하지만 함께 지내면서 소년에게 정이 드는데…….

자신의 정체를 숨기려는 외계생물과,
그의 정체가 무엇이든 상관없는 소년, 김기훈.

성인이 되어 다시 마주한 둘은 자신의 감정을 솔직하게 말할 수 있을까.

----

공: (김기훈) 강공, 집착공, 초능력자공, 수한정 다정공
수: (오재우) 강수, 집착수, 사람인 척 하는 외계생물 수",https://ridibooks.com/books/3542000010
