title,author,genre,publisher,age,total,pub_date,complete,img_src,intro,ridibooks
넣어 키운 걸그룹,burn7,현대판타지,라온E&M,19세 이용가,370,2018.12.18.,완결,//img.ridicdn.net/cover/1534071972/xxlarge,"""연예인처럼 대중 앞에 보여지는 직업을 가진 사람들은 일반인에 비해서 '차밍 포인트'가 더 강합니다. 그러니 최대한 많은 연예인들과 성교해주세요. 김윤호 대표님이 가진 특별한 능력을 이용해서요.""

그렇다고 한다.
그중에서도 단연, 만인의 사랑을 받는 걸그룹의 차밍 포인트가 으뜸이었다.
걸그룹은 항상 옳으니까.",https://ridibooks.com/books/1534071972
던전 디펜스,헌화,퓨전판타지,노블엔진,19세 이용가,497,2017.11.17.,완결,//img.ridicdn.net/cover/2036052085/xxlarge,"""지금껏 마왕을 신나게 털어먹은 용사(플레이어)였던 '나'.
눈을 떠보니, 난데없이 게임 속의 마왕이 되었다.

거기까지는 좋은데, 마왕이라면서 부하도 한 명 없다?
능력치는 바닥. 돈도 없다. 검술도 마법도 모른다.
믿을 것이라고는 음험한 잔머리, 게임의 지식, 그리고 세 치 혓바닥뿐.

최약, 최저, 최악의 마왕 '단탈리안'이 되어,
해일처럼 밀어닥치는 인간들을 두뇌와 말발로 물리쳐라.
그리고 세계의, 역사의 명운을 결정 지어라.""",https://ridibooks.com/books/2036052085
하고 싶은 여자 판독기,김무럭,현대판타지,문피아,19세 이용가,183,2019.09.10.,미완결,//img.ridicdn.net/cover/425159573/xxlarge,내 눈엔 하고 싶은 여자가 보인다,https://ridibooks.com/books/425129024
대물로 태어나게 해주세요!,성난불기둥,현대판타지,라온E&M,19세 이용가,1037,2017.06.26.,미완결,//img.ridicdn.net/cover/1534091825/xxlarge,"이정우는 40 성공한 가장이다. 
그러나 158의 작은 키에 5cm 밖에 안 되는 소물(?)로 인해 부부관계가 원만치 못했다. 부인의 불륜으로 인해 비극적인 죽음을 맞이한 그는, 신 앞에서 억울함을 호소하며 환생의 기회를 부여받는다.
신은 그가 가진 키와 아이큐 그리고 그곳의 크기를 모두 더한 숫자 300을 재분배 할 수 있는 권능을 하사하고, 이정우는 185,97,18의 젊은 이도훈으로 다시 태어난다.
이제 대학생인 이도훈의 삶을 살게 된 이정우의 손목엔 ‘플레이어’들만 사용할 수 있는 신의 선물이 주어지는데...
주인공은 이를 활용해 수많은 여자들을 만나고, 이도훈이 못 다 이룬 꿈을 대신 이루기 위해 동분서주 하게 된다.",https://ridibooks.com/books/1534018045
재벌이 돈을 숨김,절세초인,현대판타지,프로무림,19세 이용가,195,2019.02.13.,완결,//img.ridicdn.net/cover/1007025505/xxlarge,재벌집의 망나니 약쟁이 증손자로 다시 태어나다.,https://ridibooks.com/books/1007025505
BJ무림존물,휴도,무협소설,매드햇,19세 이용가,200,2019.09.09.,완결,//img.ridicdn.net/cover/2378007178/xxlarge,"가장 존귀한 인물, 무림존물!
강호는 나를 그리 불렀다.

하지만 나와 관계를 맺은 수많은 여인들은…?
대충 알아서 상상하시길!",https://ridibooks.com/books/2378007178
지옥과 인간의 대결 (Man vs. Hell),백수귀족,퓨전판타지,KW북스,19세 이용가,175,2018.12.28.,완결,//img.ridicdn.net/cover/2057063081/xxlarge,"지옥이 현세에 도래하지만,

이를 막을 사람은 어제 여자한테 차인 복학생 오견우 뿐이다.",https://ridibooks.com/books/2057063081
거기가 예쁜 남자,필더블루,현대판타지,야맨스,19세 이용가,123,2019.05.27.,미완결,//img.ridicdn.net/cover/1472002998/xxlarge,"“너는 어디가 예뻐지고 싶으냐?”

 “고추요!”",https://ridibooks.com/books/1472002000
"지하경제, 돈의 맛",김우진1101,현대판타지,KW북스,19세 이용가,181,2019.02.19.,완결,//img.ridicdn.net/cover/2057067519/xxlarge,"성공이란 남들이 안 하는걸 하면 된다.
바로 불법처럼.

착하게 돈 버는 시대는 끝났다.
성장가도가 멈춰 선 황금시대의 끝자락.
이 암울한 현실에서 평범한 만년 공시생이 각성한다.

범죄와 불법, 부자가 되는 가장 빠른 길.
하이 리스크 하이 리턴 사이, 불법을 합법으로",https://ridibooks.com/books/2057067519
비혼라이프,시커먼스,현대판타지,문피아,19세 이용가,150,2019.01.03.,완결,//img.ridicdn.net/cover/425096087/xxlarge,"모솔남 정해진.
머리는 좋은데 얼굴은 아니었다.
어느날 그를 찾아온 요정 제니 
요정 제니는 정해진에게 새로운 세계를 맛보도록 돕는다.
그것이 인류의 파멸을 막는 길이었기 때문이다.
[남성전용] [하렘] [수위높음]",https://ridibooks.com/books/425096087
전설의 마수가 나타났다!,미츄리,퓨전판타지,휘슬북,19세 이용가,337,2019.12.26.,완결,//img.ridicdn.net/cover/102083131/xxlarge,"21세기를 살아가던 스물 중반의 청년. 어느 날 이상한 세계, 마경이라 불리는 숲에서 기이한 짐승으로 다시 태어나게 됐다.

겉보기엔 귀엽지만 그 정체는 무서운 전설의 마수!

마경에서의 하루는 온갖 짐승들과 사투를 벌이는 생존의 연속.

그래도 해볼 만 했다.",https://ridibooks.com/books/102083131
섹스만 해도 레벨 업!,조미김,현대판타지,매드햇,19세 이용가,196,2019.09.30.,완결,//img.ridicdn.net/cover/2378007647/xxlarge,"조루라는 이유로 서큐버스에게 죽었다.
조루라서 당했고, 조루라서 회귀했다.
이제는 달라질 차례다, 천상계의 시스템! 조루탈출넘버원과 함께!
**주의: 심각한 병맛입니다.**",https://ridibooks.com/books/2378007647
묵룡쟁패,정경,무협소설,알에스미디어,19세 이용가,194,2019.11.25.,완결,//img.ridicdn.net/cover/961033696/xxlarge,"진룡검가의 대공자 강유진,
그의 별호는 다름아닌 호색검! 
묵룡이 강호를 재패하기 위해 펼쳐지는 강유진의 파란만장한 여인 섭렵기!
그의 아랫도리에서 헤어나는 여인 없으리!

* 이 작품은 '음란무쌍 묵룡제'의 개정판입니다.",https://ridibooks.com/books/961033696
키워 먹는 트레이너,지즘,현대판타지,에픽큐브,19세 이용가,153,2019.11.01.,완결,//img.ridicdn.net/cover/120044685/xxlarge,"아이돌, 슈퍼모델, 필라테스 강사, BJ 등등 모든 남자들의 이상형.
남들은 뼈 빠지게 돈 벌고 공물 바쳐서 간신히 한 번 꼬셔 먹는데,
난 다르다.
난 내가 키워 먹는다.",https://ridibooks.com/books/120044685
파트너 어플,딸기연필,현대판타지,REWIND,19세 이용가,390,2019.03.28.,완결,//img.ridicdn.net/cover/2008012997/xxlarge,"우연찮게 내 손에 들어오게 된 어플리케이션 
「파트너 어플」
그건 고달프기만 하던 내 인생을 바꿔줄 선물이었다.
[파트너 어플을 실행하셨습니다.]
[환영합니다, 주인님.]
[무엇을 물어보시겠습니까?]
“돈을 벌고 싶어.”
[일을 하세요.]
“뭐, 임마?”",https://ridibooks.com/books/2008012997
안 보이는 투명츄,고하솜,현대판타지,매드햇,19세 이용가,505,2018.12.10.,미완결,//img.ridicdn.net/cover/2378011503/xxlarge,"[코믹] [투명] [스킬] [얀데레] [하렘] [암캐] [마족]
외모 때문에 면접에서 떨어진 준영
서큐버스와 딥키스 계약을 했더니
뭐? 포인트를 못 내면 영혼이 갈린다고?
살기 위해 여성들을 공략해야 하는 준영
그런 그가 뽑은 첫 스킬은 바로, 투명화!",https://ridibooks.com/books/2378004014
무한빙의로 세계 최강,절세초인,퓨전판타지,프로무림,19세 이용가,543,2019.05.15.,완결,//img.ridicdn.net/cover/1007027171/xxlarge,"죽은 줄 알았는데...... 다른 사람으로 빙의했다고?
어떨 때는 재벌 집 막내아들, 어떨 때는 세계를 뒤에서 조종하는 흑막?
무한의 인생을 거쳐 세계 최강이 된다.",https://ridibooks.com/books/1007027171
센 놈!,JJ진JJ,현대판타지,레드피플,19세 이용가,96,2019.06.20.,완결,//img.ridicdn.net/cover/1483016840/xxlarge,"조직 폭력배로 살다 비명에 죽은 33살 최강민이 20살 핏덩이 민수호의 몸으로 들어갔다.
하지만 새 생명은 공짜가 아니다. 
처녀, 유부녀, 과부, 기생, 비구니. 민수호의 몸은 그들을 상대로 오입질을 하지 않으면 양기가 넘쳐서 죽는다.",https://ridibooks.com/books/1483016840
