title,author,genre,publisher,age,total,pub_date,complete,img_src,intro,ridibooks
내 안에 마교있다,초(류희윤),무협소설,라온E&M,전체 연령가,275,2019.10.11.,미완결,//img.ridicdn.net/cover/1534091821/xxlarge,"흑풍대 출신으로 천마의 다섯 번째 제자가 된 서무욱.
사형제들의 배신으로 죽임당한 후, 정파의 삼류 후기지수 송유겸의 몸으로 눈을 뜨다.",https://ridibooks.com/books/1534079861
내 머릿속에 2000년 마법 역사,산천,퓨전판타지,JC미디어,전체 연령가,196,2019.07.14.,완결,//img.ridicdn.net/cover/3228008724/xxlarge,"검문의 낙오자 강민혁.
그가 고차원의 마법 문명을 얻다.",https://ridibooks.com/books/3228008724
이세계 천재 화가,블루피스,퓨전판타지,㈜ 마야마루 출판사,전체 연령가,200,2019.09.20.,미완결,//img.ridicdn.net/cover/2200032164/xxlarge,"“화가가 되고 싶어.”

하지만 절망에 빠졌다.
가정교육? 조기교육? 그런 건 의미 없었다.
제일 중요한 것은 ‘재능’이었다.
삶의 의욕이 사라진 상태. 진학은 포기했다.

‘앞으로 뭐 하고 살지…….’

몇 달째 소설만 읽으면서 시간을 때우고 있었다.
잠시 후, 나는 잠에 빠져들었다.

아침이 되었다.
뭔가 이상했다.
주변을 둘러보았다.
내 방이 아니었다.

이곳은 이스티나 제국.
내가 읽었던 판타지 소설의 세계였다.
그리고…
지금 내 몸은 그렇게나 바라던 신이 내려 준 ‘재능’을 지니고 있었다.",https://ridibooks.com/books/2200029382
회귀의 전설,김광수,현대판타지,주식회사케이티,전체 연령가,525,2019.03.28.,완결,//img.ridicdn.net/cover/1525004030/xxlarge,"<마계대공 연대기>, <21세기 대마법사>의 김광수 작가의 신작!


제2의 IMF가 휩쓸고 지나간 2020년의 한국의 노량진.

증권맨에서 고시 낭인으로 전락했던 장태산은 아이를 구하다 차에 치인다.

죽음의 순간, 장한 선업을 쌓았다며 정체불명의 노인은 그를 18살, 고2 때로 돌려보내는데!

생생하게 기억나는 증권 그래프와 미래! 불법 과외(?)로 전수 받은 어마무시한 무공까지.

강대한 힘을 가지고 전설을 써내려가는 태산의 이야기가 시작된다!",https://ridibooks.com/books/1525004030
내가 키운 S급들,근서,퓨전판타지,제이플러스,전체 연령가,499,2018.08.21.,미완결,//img.ridicdn.net/cover/2065034918/xxlarge,"F급 헌터.

그것도 잘나가는 S급 동생 발목이나 잡는 쓸모없고 찌질한 F급 형.

개판 된 인생 대충 살다가 결국 동생 목숨까지 잡아먹고 회귀한 내게 주어진 칭호,

'완벽한 양육자'.

그래, 이번에는 나대지 말고 얌전히 잘난놈들 뒷바라지나 해 주자.

라고 생각했는데, S급들이 좀 이상하다.",https://ridibooks.com/books/2065016312
재능이 자꾸 늘어,달의등대,현대판타지,파피루스,전체 연령가,164,2020.03.06.,미완결,//img.ridicdn.net/cover/777075371/xxlarge,"무능하고 한 많은 인생이 끄트머리에 다다랐다.

놀랍게도 다시 시작된 삶.
더 놀랍게도 회귀하면서부터 없던 재능이 생기기 시작하는데...
...
어 근데 너무 많이 생기는 것 같다.",https://ridibooks.com/books/777071602
아포칼립스의 고인물,슬리버,퓨전판타지,제이플러스,전체 연령가,224,2019.11.29.,미완결,//img.ridicdn.net/cover/2065034911/xxlarge,"세상이 게임처럼 바뀌었다.
좀비와 몬스터가 사람을 덮치는 생존 VR 게임.
나는 그 게임 최후의 유저였다.

[좀비, 몬스터, 생존, 아포칼립스, 공략집]",https://ridibooks.com/books/2065032987
로그인하자마자 VIP,토이카,퓨전판타지,㈜인타임,전체 연령가,260,2019.12.09.,미완결,//img.ridicdn.net/cover/1377074376/xxlarge,"멸망한 세상에서 홀로 쇠를 두드리던 대장장이 모루.
모든 차원의 영웅이 속한 커뮤니티, 히어로 유니버스에 우연히 접속하게 된다.

모든 세상의 영웅이 그의 무기를 원했으며
모든 세상의 괴물이 그의 영혼을 증오했고
모든 세상이 그의 존재를 축복했으나
그 누구도 그의 죽음을 막지는 못했다.

그로부터 수십 년 후, 차원의 침략이 시작된 지구.
마나를 다루지 못하는 소년, 강신혁이
모루의 VIP 아이디를 계승했다.",https://ridibooks.com/books/1377069839
패왕이 되는 방법,홀로선별,퓨전판타지,㈜ 마야마루 출판사,전체 연령가,234,2019.09.20.,미완결,//img.ridicdn.net/cover/2200033520/xxlarge,"천 년의 전통을 자랑하던 정파를
순수하게 힘으로 무릎 꿇리게 한 절대사황(絶代邪皇) 제갈수.

스물에 죽었을 운명을 십 년 동안 연명시킨 희대의 기제인 제갈수는
온갖 사공을 익히며 생존의 비법을 찾아냈다.

마침내 육체에서 영혼을 분리시키는 데 성공했지만,
자신과 맞는 육체를 찾지 못해 전 차원을 무려 백 년 동안이나 떠돌게 되는데…….

어렵사리 찾은 육체! 그리고 새로운 차원!
다시금 절대자가 되기 위해 제갈수는 눈을 떴다.",https://ridibooks.com/books/2200029293
웹소설만 읽으면 강해져,그루밤,퓨전판타지,제이플러스,전체 연령가,318,2019.04.29.,완결,//img.ridicdn.net/cover/2065030978/xxlarge,"웹소설 속 주인공을 볼 때마다 생각했다.
-나에게도 이런 힘이 있었더라면…….

하지만 현실은 잠재력 F등급의 플레이어일 뿐.
그리고 다 읽은 웹소설을 덮은 바로 그때.

[‘천 년 동안 수련한 검객’을 완독했습니다.]
[작품을 구현합니다. 소설 몰입도 9%.]
[특성 ‘삼재검법 (C)’을 습득했습니다.]

“……어?”

검술, 암살, 마법, 신성력!
온갖 웹소설로 무장한 그가 온다!",https://ridibooks.com/books/2065030978
