title,author,genre,publisher,age,total,pub_date,complete,img_src,intro,ridibooks
포식자의 혼약자,리사벨,판타지물,필연매니지먼트,19세 이용가,105,2020.05.01.,미완결,//img.ridicdn.net/cover/2259003646/xxlarge,"“그러게 정도껏 했어야지. 엘리샤. 이런 꼴을 당하기 싫었다면.”
흔들리는 몸, 몸을 감싸안은 단단한 팔. 몽롱해지는 머리. 저도 모르게 토해지는 애끓고, 달콤한 한숨.
‘지금……. 이 상황……. 도대체 어쩌다가…….’
엘리샤는 떠올렸다. 이건 과거에 없던 일이다.
‘맞아, 그랬지.’
악마 같은 사내의 가짜 정부가 되어, 골수까지 다 뽑아 먹히고 죽는 미래. 카티에 공작 가문의 권력 분쟁에 휘말려 조각조각 나는 미래.
그 미래를 피하기 위해 엘리샤는, 전생의 주인의 숙적, 루체른에게 몸을 던졌다.

그래. 문제될 건 없었다. 이 남자가, 회귀 전에도 회귀 후에도. 제국에서 가장 유명한 미치광이라는 사실은 이미 알고 있었으니까.

*

20살의 엘리샤에게는 금화 3만 개(한화 가치로 약 150억 원)의 빚을 지고 있다.
회귀 후,
그 빚 때문에 나락으로 떨어지는 인생을 피하기 위해.
그녀는 세계에서 가장 유능한 사생아. 전생의  주인의 숙적인 권력자, 루체른을 찾아간다.

“그래서 나한테 뭘 원해?”
“돈 빌려주세요. 그리고……. 당신의 부하로 삼아주세요. 제가 가진 모든 정보를 드리겠습니다.”
“내가 너의 뭘 믿고?”
“절 담보로 걸겠습니다.”

루체른은 엘리샤의 말을 듣고 그녀를 가만히 살펴보았다.

“좋아. 하지만 담보물을 어떻게 다룰지는 내가 결정해.”
“…….”
“일단 먼저, 나와 혼인해.”
“……. 네?”

엘리샤도 몰랐다. 그 정보 거래가.
혼인 계약이 될 줄은.

그래서, 엘리샤는 동침을 근거로. 그의 계약직 아내가 되었다.


일러스트  By 페퍼
타이틀디자인 By 타마(@fhxh0430)",https://ridibooks.com/books/2259003291
디어 에데르트,김빠,판타지물,로즈엔,19세 이용가,185,2019.11.01.,미완결,//img.ridicdn.net/cover/2334000498/xxlarge,"※본 소설은 다소 강압적인 관계를 포함하여 호불호가 나뉘는 내용이 일부 포함되어 있습니다. 이용에 참고 바랍니다.

‘눈을 떠, 이든. 제발…! 제발.’

아득한 저편에서 열띤 목소리가 들려오는 것 같은 착각이 들었다. 나는 이제 완전히 죽는 걸까. 쾌감이 지독해질수록 정신이 아득해졌다. 혜미는 저도 모르게 땀에 젖은 남자의 등을 더듬듯 껴안았다.

***

클라웨 제국의 에데르트로 깨어난 혜미.
모두들 그녀가 제국의 황제가 되어야 한다고 말한다.
하물며 죽음을 넘어 재회한 그녀의 옛 연인 발터까지도.

“너는 클라웨의 황제가 될 운명이다, 에데르트.”

일러스트: 감람",https://ridibooks.com/books/2334000313
가짜 여동생을 원하면,로즈라인,판타지물,로즈엔,19세 이용가,119,2020.02.24.,미완결,//img.ridicdn.net/cover/2730000232/xxlarge,"폐위된 공주, 매음굴 잡역부. 그리즈 베네딕트.
그리즈는 운 좋게 매음굴을 빠져나왔다. 조건은 바이렌하그 가문의 영애로 사는 것.
살기 위해 그리하기로 했다. 보름 정도는 살 만했다.

가짜 오라버니인 바이렌하그 대공에게서 작고 귀여운 동물을 선물 받았다.
처음이자 마지막 선물인 줄 알았지만 그는 계속해서 더 큰 선물을 가져다줬다.

마침내 그가 그 자신을 주려 했을 때, 그리즈는 이 관계가 파국으로 끝나리란 걸 예감했다.

***

“저를 괴롭히는 게 즐거우신가요. 그래서 어제도 그렇게….”

혀를 야하게 굴리며 나른한 신음을 내던 사내가 지금도 입술에 남아 있다. 그가 불가촉천민의 무력함을 조롱한 것이라고 여기면서도 설레는 스스로가 싫다.

“저도 영향받을 수밖에 없어요. 이러다 디르크와의 혼사를 망칠지도 모릅니다.”
“그거 괜찮겠네.”

나지막이 말한 그가 모호하게 미소 지었다.

“그냥 내가 가질까. 이렇게 피 말리느니.”

그리즈는 그대로 호흡을 멈췄다. 가지다니… 대체 무엇을.

“무엇을요?”

그의 시선은 거침없었다. 파란 눈이 목 부근을 훑었다.

일러스트: 몬스테라",https://ridibooks.com/books/2730000114
아만떼 (amante),완전천재,현대물,모먼트,19세 이용가,54,2020.05.25.,미완결,//img.ridicdn.net/cover/3864001025/xxlarge,"유명 사진작가 윤서하는 쿠바에 로케를 떠났다가 남자 모델이 펑크를 내 곤란에 처한다. 그때 사진작가의 감으로 한 일반인을 캐스팅하게 되어 무사히 촬영을 마친다.
그는 비밀에 싸인 천재 프로듀서 JJ. 미국 이름 에릭. 영감을 위해 쿠바에 왔다가 서하를 만나게 된다. 서로의 호감이 발전해 하룻밤을 보내고 둘을 일단 헤어지게 된다.
그가 JJ임을 안 브랜드 회사에서 그에게 제안을 한다. 홍보에 협조는 물론 앞으로 1년간 마르체티의 모델로 활동해 달라는. 그는 사진작가를 무조건 윤서하가 맡아야 한다는 조건을 단다.
한국으로 돌아온 서하에게 마르체티는 향후 1년간의 전속 작가를 제안한다.

다시 만난 서하와 에릭의 폭풍 같은 로맨스.",https://ridibooks.com/books/3864000964
파반느,얍스,현대물,동아,19세 이용가,66,2020.04.13.,미완결,//img.ridicdn.net/cover/809026056/xxlarge,"※ 본 작품에서는 강압적 관계 등 호불호가 갈리는 키워드가 포함되어 있습니다. 구매에 참고해주시기 바랍니다.



죽지 못해 사는 것.

새희에게 삶은 그런 의미였다.
보육원에서 만난 은석과 언제까지나 함께이고 싶었다.
그러나 새희는 은석을 배신했고, 자신을 버리지도, 용서하지도 못하는 은석의 곁에서 새희는 방치되며 망가진다.

더는 바뀌지 않을 것 같던 새희의 삶이 한 번 더 소용돌이친 건, 은석의 약혼녀 이진을 만나면서부터.
그리고 이진의 애인인 그 남자와 눈이 마주치면서부터.

잔혹하고 습한 눈을 가진 그 남자는 너무도 태연하게 새희를 욕망한다. 너무도 태연한 그 욕망에 새희는 경악했고, 경악한 다음 무너져 내렸고, 무너져 내린 다음 온몸이 짓무르도록 애절해졌다.

언제부턴가 새희의 삶은 그 남자의 것이 된다.
그 남자를 상실한 삶은 살고 싶지 않을 정도로.

*      *      *

“나랑 자고 싶나요?”
입에선 제정신이 아닐 정도로 직설적인 말이 튀어 나갔다. 어떻게 그런 말을 할 수 있었을까. 분명 이 시간이 지나면 후회하리라. 희한하게도 그는 재밌어하는 표정이 되었다.
“그렇다면?”
새희의 얼굴은 창백하게 질렸다. 귓가에선 환청처럼 이진의 매혹적인 웃음소리가 울린다. 이건 부도덕하다.
“당신한텐 애인이…… 주이진 씨가 있잖아요.”
그는 못 먹을 걸 먹은 것처럼 인상을 썼다. 그 이름이 지금 나왔다는 것에 어이없어하는 기색이다.
“내 앞에서 결혼할 남자의 애인까지 소개시켜 주는 여자에게 정절을 지키란 말입니까?”
그의 입에서 나온 정절이란 단어는 이질감이 들었다. 의심이 마구잡이로 솟았다. 그는 처음부터 이럴 작정이었으리라. 헛걸음했다는 말로 혼란을 가중시키고, 환상적인 연주로 경계를 풀었지만 결국 목적은 하나였던 것이다. 실망스러웠다. 이해할 수 없을 만큼 그에게 엄청난 실망감이 들었다. 실망감은 보기 드문 격분으로 타올랐다.
“나는, 저는, 그럴 생각 없어요. 은석이 모르게 그런 짓은…….”
“결혼식이 다음 주인 거 알아요?”
김언혁은 차분하게 칼날을 겨눴다. 그는 얼마든지 새희의 가장 연약한 부분을 난도질할 수 있었다. 그럴 수 있다고 경고하고 있었다.",https://ridibooks.com/books/809025295
짐승의 먹이,하라쇼,판타지물,필연매니지먼트,19세 이용가,48,2020.06.01.,미완결,//img.ridicdn.net/cover/2259003617/xxlarge,"“샤, 오로지 그대만이 나를 온전히 가질 수 있습니다.”
사내는 알리샤의 여린 허벅지 살을 한껏 베어 물며 말했다.
“그러니 아랫입으로든 윗입으로든 예쁘게 울어보세요. 질질 싸더라도 그대의 몸에서 나오는 물이라면 그것이 무엇이든 기꺼이 핥아줄 테니.”

*

몇 세대에 한 번, 용의 피를 잇는 용의 후예가 태어난다.
그렇게 태어난 황제는 누구보다 강하고 아름답지만, 반드시 그 광기를 잠재울 수호자가 필요했다.
“이번 수호자께서는 레헬 왕국의 한 백작가에 있는 듯하나, 그리 좋은 상황은 아닌 듯합니다.”
“쳐.”
작은 왕국을 쓸어버린 황제는 그녀를 볼모로 요구해 제국으로 데려오는데…….


일러스트 By(@jyunjjyun)
타이틀디자인 By 타마(@fhxh0430)",https://ridibooks.com/books/2259003505
악마를 교화하는 방법,몽슈,판타지물,라렌느,19세 이용가,86,2020.04.24.,미완결,//img.ridicdn.net/cover/297029043/xxlarge,"나흘 전 장례식을 치른 남편, 데릭 바이실이 갑자기 되살아났다.
그런데 이 남자, 죽기 전과는 너무나 달라졌다!

""내가 배가 고파, 부인.""

매번 피하던 식사자리에 꼬박꼬박 나오는 것부터

""우리 침실, 합치는 게 어때?

갑자기 따로 쓰던 침실을 합치차는 은밀한 제안까지!
대체 이 남자에게 무슨 일이 일어난 거야?


*

“이렇게 맛있는 냄새를 폴폴 풍겨대는데…… 어떻게 참아.”

유디트는 지금 이 순간, 그가 저를 머리부터 발끝까지 모조리 먹어치울 잔악한 포식자처럼 느껴졌다.

“당, 읏, 당신 대체 뭐예요……?”

그녀의 말랑말랑한 귓불을 쭉쭉 빨고 귓속으로 혀를 집어넣어 괴롭히던 그가 픽 웃었다. 

“내가 뭐냐니.”

데릭이 그녀의 턱에 입을 맞추며 나른하게 속삭였다.

“네 남편이잖아, 유디트.”",https://ridibooks.com/books/297027957
라이트 앤 다크,반나,판타지물,뷰컴즈,19세 이용가,60,2020.05.15.,미완결,//img.ridicdn.net/cover/3049008646/xxlarge,"성스러운 신의 사제, 말레드레드.
그런 그녀에게, 두 남자가 타락의 손길을 내밀었다.
그녀는 빛과 어둠 사이에서, 새빨간 본능에 눈을 떴다.

***

나에겐 두 남자가 있다.
첫 번째 남자는 성스러운 빛의 아들, 성기사 아론나이드였다.

“보고 싶었어요.”

그 단어가 시작이었다.

“아, 아론!”

감히 상상이나 할 수 있었을까. 울보 아론이 내 음부를 핥게 될 거라고. 나는 배덕감에 치를 떨면서도 좋아 죽는다는 듯이 흐느꼈다.

“당신을 원해요, 말레드레드. 제게 모든 것을 주세요.”

아론은 환한 미소를 짓고는 다시 다리 사이에 얼굴을 박았다.

두 번째 남자는 어둠의 군주, 마왕이었다.
그는 내 머릿속에서 금발의 청년을 가슴 저 아래로 내리누르게 했다.

“그대가 바라는 초월자가 되어 주지. 아주 음란한.”
“큿……!”

그의 동작은 거칠었다. 방심한 틈을 타서 손가락이 더욱 깊게 들어왔다. 마왕이 내 귓가에 속삭였다.

“다리를 벌려.”

나는 두 남자에 의해, 반듯한 껍데기 안의 숨겨진 내 진짜 얼굴을 드러내고 말았다.",https://ridibooks.com/books/3049008303
상사와 몰래 하는 짓,김살구,현대물,LINE,19세 이용가,78,2020.03.23.,완결,//img.ridicdn.net/cover/2264008382/xxlarge,"―저런 성기를 가진 남자랑 자면 어떤 기분일까?

사건의 발단은 순수하지 못한 호기심이었다.

소영은 새롭게 이동한 부서의 팀장, 태경을 보고 자신의 눈을 의심한다.

공들여 세공한 듯 수려한 외모도 놀랍기는 했지만, 중심부에서부터 왼쪽 허벅지까지 길게 드리워진 실루엣이 믿을 수 없을 만큼 거대했기 때문이었다.

시선은 저절로 두둑한 고간을 향했고, 은밀한 상상은 걷잡을 수 없이 피어났다. 
소영은 때때로 죄책감을 느꼈지만, 당사자만 모르게 하면 되는 일이라고 자위하며 태경을 훔쳐본다.

그랬는데.

""내 좆이 그렇게나 마음에 듭니까?""

태경은 처음부터 소영의 시선쯤은 알고 있었다는 듯 웃었다. 그녀를 마치 덫에 걸린 사냥감처럼 응시하면서.



- 본문 중에서 -



“한소영 대리.”
“네?”
""내 좆이 그렇게나 마음에 듭니까?""

도대체 방금 무슨 소리를 들은 걸까.

소영은 자신의 귀를 의심했다.

태경은 꽁꽁 얼어버린 소영을 향해 보기 좋은 입술을 비스듬하게 휘었다. 그러고는 평소처럼 친절한 목소리로 말을 이었다.

“처음 만난 날부터 지금까지, 너무 노골적으로 쳐다봐서…….”
“…….”
“더는 모른 척할 수 없겠던데요.”

알고 있었나.

소영은 눈앞이 하얗게 물드는 기분을 느꼈다. 

소영도 처음에는 이렇게까지 노골적으로 태경의 고간을 훔쳐볼 생각이 없었다. 그래서는 안 된다는 이성 또한 있었다.

하지만 태경은 소영의 시선을 조금도 인지하지 못하는 듯했고, 그래서 그녀는 그가 보기보다 둔하다고 생각하며 안심해 버렸다. 그리고 마음껏 감상했다. 옷감 위로 드러난, 남다른 위용을 자랑하는 거대한 물건을.

그랬는데…… 그 모든 게 자신의 착각이었다니.

“죄, 죄송…….”

팀장님의 두둑한 사타구니를 함부로 뚫어지게 훔쳐봐서 죄송합니다.

감히 그런 말을 내뱉을 수는 없었으므로, 소영은 더듬더듬 어설픈 사과를 뱉어냈다. 태경은 피식거리는 웃음을 흘리며 고개를 모로 기울였다.

“사과받으려고 한 말은 아니고.”
“…….”
“그렇게 궁금하면, 어떻게 생겼는지 보여 줄까 싶어서요.”

차 안의 밀폐된 공기가 불현듯 무거워졌다.

ⓒ일러스트 : 누잇",https://ridibooks.com/books/2264008382
악녀에게 의리가 어디 있어,천의얼,판타지물,필연매니지먼트,19세 이용가,226,2019.10.23.,미완결,//img.ridicdn.net/cover/2259003593/xxlarge,"시골 자작가의 사생아, 까마귀 같은 샬로테.
그녀는 힘없는 소꿉친구 황자에게 사랑과 헌신을 바쳤다.
수많은 정적을 제거하는 공을 세운 그녀에게
황제가 된 알베르트는 조용히 선고했다.

""불구로 만들어 뇌옥에 가둬라.
일가는 멸족해 기강을 바로 세운다.""

더러운 누명과 철저한 배신.
샬로테는 친구들에 의해 다리가 부서져 뇌옥에 갇혔다.

울고, 빌고, 망상하고, 체념한 끝에
5년이 흐른 걸 깨달은 어느 날.

샬로테는 그 씨발 것들을 싹 다 족쳐 버리기로 했다.
그리고…….

""부탁을 하나 하고 싶은데, 황제를 죽여 주지 않겠어?""

대공가의 양자, 정체불명의 출생을 가진 남자.
루슬란 폰 카이텔 백작이 그녀 앞에 나타났다.

""이 아이의 몸과 불로불사의 마법. 그걸로 당신은 다시 태어날 수 있어.""


타이틀디자인 By 타마(fhxh0430)",https://ridibooks.com/books/2259002093
