title,author,genre,publisher,age,total,pub_date,complete,img_src,intro,ridibooks
그저 여명일 뿐,우지혜,현대물,폴라리스,전체 연령가,45,2020.06.05.,미완결,//img.ridicdn.net/cover/297028857/xxlarge,"기억하고 싶은 모든 처음은
모두 너와 함께였다.

아무것도 몰랐던 열여덟의 여름부터
많은 것을 알게 된 서른하나의 여름까지,
네가 없는 계절도
네가 켜켜이 배어 있는 것만 같았다.

“나랑 아는 사이 돼서 너한테 좋을 거 없어.”

무뚝뚝한 얼굴로 너는 그렇게 밀어냈지만
너랑 아는 사이였기에 그 무수한 날들을 견뎠다는 걸
너는 여전히 모르나 보다.
그러니 똑같은 헛수고를 다시 반복하는 거겠지.

“남자 필요하냐고 물었어?
 필요하다면, 내 남자 해 줄 거야?”

너는 서른하나의 나를 좀 알아 둘 필요가 있다.
예전엔 미처 몰랐던 그런 눈으로 나를 바라볼 거라면.

“너, 사람 미치게 하는 데 도가 텄지.”


네가 있는 지금, <그저 여명일 뿐>",https://ridibooks.com/books/297028799
"계모인데, 죽음을 피하는 게 너무 쉽다",연희연,판타지물,필연매니지먼트,전체 연령가,82,2020.03.20.,미완결,//img.ridicdn.net/cover/2259003529/xxlarge,"유년 시절의 학대로 인해 폭군이 되어 돌아온 남주의 손에 끔살당하는 악역 계모가 됐다.
이대로 죽을 순 없잖아.
죽지 않으려면 뭐라도 하겠다는 각오를 다졌다.
그런데...... 뭐가 이렇게 쉽지?
게다가 엎친 데 덮친 격으로 남편이 내게 집착하기 시작한다.


일러스트 By 우표(@hoihihhih)
타이틀디자인 By 타마(@fhxh0430)",https://ridibooks.com/books/2259002952
테라리움 어드벤처,수하수하,판타지물,로즈엔,전체 연령가,147,2020.04.20.,미완결,//img.ridicdn.net/cover/4159000150/xxlarge,"유저 다 떠나고 고인물만 남은 방치형 다이아 생산 게임 <무한 다이아>.

마지막 업적인 ‘소지 다이아 999,999,999…개 달성하기’를 완료하자마자 이상한 세계로 끌려갔다.

아직 오픈도 안 한 <테라리움 어드벤처> 안에, 내가 모은 999,999,999…개의 다이아를 들고서.

써도 써도 줄지 않는 다이아로 게임 세상 정복하기!

일러스트: dia nak",https://ridibooks.com/books/4159000001
사립학교 이야기,rarae,현대물,동아,전체 연령가,63,2020.05.20.,미완결,//img.ridicdn.net/cover/809026230/xxlarge,"새로 온 동양인 전학생, 아이린 킴은 예뻤다.

“아이린 킴(Irene Kim)이라고 해요.”

유럽 최고의 명문, 세인트 플린 사립학교.
그곳에서 아이린이 마주하게 된 세 명의 남자들.

“네 말이 맞다고. 나는 너를 불쾌하게 느껴.”

그녀를 향해 날카로운 경계심을 드러내는 남자와,

“어쩜 이다지도 순진할까.”

까닭 모를 호의를 기꺼이 베풀고자 하는 남자, 그리고…….

“그래. 네가 할 줄 아는 건, 또 그렇게 우는 것뿐인가?”

헤아릴 수 없는 묘한 관심을 보이기 시작한 남자까지.

얼마 지나지 않아, 아이린은 자신이 결코 어울리지 못할
유럽 상류 사회의 견고한 성에 이물질처럼 섞여 들어왔음을 알아차렸다.",https://ridibooks.com/books/809025956
먼치킨들의 총애를 받고 있습니다,태비의별,판타지물,고렘팩토리,전체 연령가,83,2020.03.16.,미완결,//img.ridicdn.net/cover/2107063593/xxlarge,"크레이든의 열다섯 번째 황녀 레비시아는,
정신을 잃은 2주간 전생의 기억을 본다.

그리고 이 세계가 책 속이라는 것을 깨닫고 걱정에 잠긴다.
자신이 크레이든 후계자들의 다툼에 휘말려 죽을 운명임을 알게 되기 때문이다.

조용히 이곳에서 떠나리라 결심하는 레비시아.

“누님한테서는 맑은 숲의 향기가 나요.”
“누이가 나를 누이에게로 이끌었어.”
“오늘은 왜 찾아오지 않은 것이야?”

그런데, 이 나라에 피바람을 몰고 올 먼치킨 후계자들이
저에게 관심을 보이기 시작한다.

시련은 그게 끝이 아니었는데…

레비시아는 시종 펠의 방에 들어갔다가, 그의 가발을 발견한다.

검붉은 머리카락에 금색 눈?
이런 미친!

그는 훗날 이 제국을 쓸어버릴 주인공이었다.

“정말 할 이야기가 없어서 그러는 거, 맞습니까?”
“….”
“또, 눈도 피하시고.”
“책 읽는 중이잖아.”
“긴장도, 하시고.”
“…!”
“이러려고 계약서를 쓴 게 아닌데.”

레비시아는 조용히 이 궁에서 빠져나갈 수 있을까?",https://ridibooks.com/books/2107059196
네가 살아 있으면 좋겠어,신레고,판타지물,디앤씨북스,전체 연령가,76,2020.05.22.,미완결,//img.ridicdn.net/cover/777074548/xxlarge,"눈을 떠 보니, 좀비가 되었다?

제국의 유일한 황녀였던 시절을 까맣게 잊어버린 그녀를 우연히 돌보게 된 체르시안.
그는 순수한 어린아이 같은 그녀에게 속절없이 빠져드는데…….

“체르체르야.”
“어, 그래.”
“좋아해.”

어느 날, 두 사람 앞에 나타난 남자 알피어스.

“역시 저는 당신이 살아 있을 줄 알았습니다.”

자신을 아는 듯한 알피어스에 이사벨은 혼란에 빠진다.
이후 알피어스는 체르시안의 존재를 철저히 지우려 하지만, 이사벨은 계속해서 체르시안을 찾는데…….

“똑바로 보십시오. 당신을 돌보는 건 나야, 그 빌어먹을 새끼가 아니라.”

이사벨을 둘러싼 두 남자의 숨 막히는 삼각관계!",https://ridibooks.com/books/777073962
로잔의 가시덤불,김다현,판타지물,로즈엔,전체 연령가,155,2020.01.31.,미완결,//img.ridicdn.net/cover/4122000155/xxlarge,"향락의 도시에서 태어난 성스러운 천사의 현신, 카니나의 페기.
음악을 벗 삼아 조용히 살아가던 그녀가 어느 날 처참하게 죽는다.

그로부터 3년.
초라한 무덤가에서 되살아난 페기는 완전히 뒤바뀐 고국을 마주하게 되는데….

일러스트: 우문",https://ridibooks.com/books/4122000001
그림자 없는 밤,김미유,판타지물,동아,전체 연령가,174,2019.11.11.,미완결,//img.ridicdn.net/cover/809025269/xxlarge,"* <그림자 없는 밤>은 3부 시작 전 두달 간 휴재에 들어가게 되었습니다
  앞으로도 많은 응원과 사랑 부탁드립니다.
  7월 중으로 다시 찾아 뵙겠습니다.
  감사합니다.



#판타지물 #빙의물 #성장물
#기사여주 #엉뚱여주 #능력여주 #외강내강 #황자남주 #까칠남주 #상처남주 #냉정남주


[깊은 숲에 들어가면 그림자에게 잡아먹힌다.
숲의 그림자는 사람이 보지 않을 때 움직인다.
깊은 숲에는 사람을 흉내내는 그림자가 있다.
숲의 그림자는 말을 한다.]

사냥대회에서 적국의 습격을 받고 실종됐던 하얀밤 기사단의 ‘로젤린’
절벽아래에 큰 부상을 입은채 의식을 잃은 그녀를 간신히 찾아냈지만,
며칠 뒤 깨어난 로젤린은 간단한 언어조차 구사하기 힘든 중증의 기억상실 상태였다.

잠옷을 입은 채 맨발로 집안을 배회하지를 않나, 여기저기 반말을 하고 다니지를 않나.
심지어는 바닥에 떨어진 음식을 주워 먹기까지!

아무리 봐도 어딘가 이상한 그녀. 정말 로젤린이 맞긴 한 걸까?",https://ridibooks.com/books/809023066
블랙 스톰(Black Storm),김신형(하현달),현대물,로즈엔,전체 연령가,49,2020.05.29.,미완결,//img.ridicdn.net/cover/2102000055/xxlarge,"“온전히, 대가 없이 받는 무한한 신뢰가 담긴 눈이라서. 그런 건 보통 짐승에게서나 나오는 것 아닌가. 안 그렇습니까, 리안 양?”

리안이라는 이름이 낯설었다. 자신이 지아로 산 세월만큼 리안으로 산 세월 또한 짧지 않은데 여전히 그 이름은 타인의 것인 것처럼 익숙하지 않았다.

“다른 사람과 착각한 것 같습니다.”

뻔한 대답으로 눙쳤다. 기계처럼 같은 말만 반복했다. 지아는 그의 인생에 다시는 끼어들고 싶지 않았다.

“나는 그게 사람이라고 말한 적이 없는데.”
“…네?”

그녀가 이마를 살짝 좁히자 트리스탄의 입꼬리가 눈앞에서 올라갔다. 말장난의 함정에 빠진 것 같다고 생각했을 때였다.

“내가 키우던 짐승을 한 마리 잃어버렸는데 그쪽이라면 찾을 수 있을 것 같아서요.”

농담인지 진담인지 구분이 되지 않았다. 지아가 이번에는 대답하지 않고 신중히 목 안쪽으로 말을 골랐다.

“전 동물을 키워 본 적도 없는 사람인데요.”

동물을 키워 본 적도 잃어버린 적도 찾아 본 적도 없는 사람이었다.

“확인해 보죠. 아마, 리안 양이라면 찾을 수 있을 겁니다.”

그가 절대 모를 거라는 확신은 불안하게 흔들렸다

일러스트: 몬스테라",https://ridibooks.com/books/2102000007
내 악역 남편을 위하여,진희화,판타지물,필연매니지먼트,전체 연령가,89,2020.04.15.,미완결,//img.ridicdn.net/cover/2259003621/xxlarge,"내가 좋아했던 소설 속 완벽한 악역의 아내로 빙의했다.

악역인 남편의 손에 죽는 불쌍한 여인이지만, 빙의하기 전에 소설의 외전을 봤던 나는 알고 있었다.
그가 아니라 이 여자가 바로 ‘진짜 악역'인 것을.

문제는 내가 그 악녀가 되었다는 사실인데…….
남편 손에 죽지 않기 위해서는 내가 악녀가 되지 않고, 그를 악역으로 만들지 않으면 되잖아?

사랑하는 최애가 남편이 되었으니 내가 할 일은 단 하나. 우리 남편 악역 길 아니라 꽃길 걷게 만드는 것.

둘 다 죽는 비극적인 결말은 모두 바꿔 버리겠어.
덤으로 남편에게 씌워진 착각계도 벗겨버리고 모두에게 우리 남편이 얼마나 착한 남편인지 알려줘야지.

꽃길은 내가 깔아 줄게요. 우리 남편님은 걷기만 하세요.

그런데…… 남편님이 너무 눈부시게 착해서 눈이 멀 것 같다.


*


“생일 선물이라면서 무슨 선물 상자가 이렇게 많아요?”
“그…… 지났다고 해도 이때까지 당신의 생일 전부…… 축하해 주고 싶었습니다.”
“전부라니…… 이때까지 지나왔던 생일 전부요?”
“네.”
“그래서 스물두 개나 산 거예요? 그래도 그렇지 돈이 많이 들었을 텐데…….”
“당신을 위해서라면 이 정도는 아무것도 아닙니다.”

수줍지만 기쁜 듯이 볼을 살짝 붉히고 꿀 같은 금빛 눈동자를 접어 웃는 저 환한 미소. 세상 사람들 여기 천사가 있어요.

정말 이 남자를 어떻게 하면 좋을까. 새삼 느끼지만 이렇게 착하고 예쁜 남편이 어디 있다고. 저게 어떻게 비릿한 웃음이지.

원작 작가님, 대체 우리 착한 남편한테 무슨 짓을 했던 거야. 무슨 억하심정이 있다고 저런 남자를 악역으로 만드냐고.


일러스트 By 킴플(@S2ie77)
타이틀디자인 By 타마(@fhxh0430)",https://ridibooks.com/books/2259003100
